file                     format  type     num_seqs         sum_len  min_len  avg_len  max_len
HCU-1VT_R1.fastq.gz      FASTQ   DNA   124,904,081  18,661,839,537       75    149.4      150
HCU-1VT_R2.fastq.gz      FASTQ   DNA   124,904,081  18,661,839,537       75    149.4      150
HCU-2VT_R1.fastq.gz      FASTQ   DNA   129,509,847  19,344,273,538       75    149.4      150
HCU-2VT_R2.fastq.gz      FASTQ   DNA   129,509,847  19,344,273,538       75    149.4      150
HCU-3VT_R1.fastq.gz      FASTQ   DNA   135,033,203  20,173,108,310       75    149.4      150
HCU-3VT_R2.fastq.gz      FASTQ   DNA   135,033,203  20,173,108,310       75    149.4      150
HCU-4VT_R1.fastq.gz      FASTQ   DNA   177,858,132  26,525,951,155       75    149.1      150
HCU-4VT_R2.fastq.gz      FASTQ   DNA   177,858,132  26,525,951,155       75    149.1      150
HCU-7VT_R1.fastq.gz      FASTQ   DNA   118,898,994  17,766,182,684       75    149.4      150
HCU-7VT_R2.fastq.gz      FASTQ   DNA   118,898,994  17,766,182,684       75    149.4      150
HEL-KLS1024_R1.fastq.gz  FASTQ   DNA   158,652,877  23,689,602,328       75    149.3      150
HEL-KLS1024_R2.fastq.gz  FASTQ   DNA   158,652,877  23,689,602,328       75    149.3      150
HEL-KLS1025_R1.fastq.gz  FASTQ   DNA   144,576,931  21,605,992,980       75    149.4      150
HEL-KLS1025_R2.fastq.gz  FASTQ   DNA   144,576,931  21,605,992,980       75    149.4      150
HEL-KLS1027_R1.fastq.gz  FASTQ   DNA   145,412,917  21,736,692,161       75    149.5      150
HEL-KLS1027_R2.fastq.gz  FASTQ   DNA   145,412,917  21,736,692,161       75    149.5      150
HEL-KLS1034_R1.fastq.gz  FASTQ   DNA   207,731,567  30,986,910,114       75    149.2      150
HEL-KLS1034_R2.fastq.gz  FASTQ   DNA   207,731,567  30,986,910,114       75    149.2      150
HEL-KLS1121_R1.fastq.gz  FASTQ   DNA   498,597,785  74,423,187,111       75    149.3      150
HEL-KLS1121_R2.fastq.gz  FASTQ   DNA   498,597,785  74,423,187,111       75    149.3      150
HMA-KLS0629_R1.fastq.gz  FASTQ   DNA   139,049,805  20,792,001,576       75    149.5      150
HMA-KLS0629_R2.fastq.gz  FASTQ   DNA   139,049,805  20,792,001,576       75    149.5      150
HMA-KLS0630_R1.fastq.gz  FASTQ   DNA   128,217,513  19,174,297,801       75    149.5      150
HMA-KLS0630_R2.fastq.gz  FASTQ   DNA   128,217,513  19,174,297,801       75    149.5      150
HMA-KLS0631_R1.fastq.gz  FASTQ   DNA   126,724,612  18,742,104,632       75    147.9      150
HMA-KLS0631_R2.fastq.gz  FASTQ   DNA   126,724,612  18,742,104,632       75    147.9      150
HMA-KLS0647_R1.fastq.gz  FASTQ   DNA    98,817,791  14,761,970,181       75    149.4      150
HMA-KLS0647_R2.fastq.gz  FASTQ   DNA    98,817,791  14,761,970,181       75    149.4      150
HMA-KLS1020_R1.fastq.gz  FASTQ   DNA   106,208,280  15,882,117,337       75    149.5      150
HMA-KLS1020_R2.fastq.gz  FASTQ   DNA   106,208,280  15,882,117,337       75    149.5      150
MGR-835_R1.fastq.gz      FASTQ   DNA   398,357,158  59,101,784,951       75    148.4      151
MGR-835_R2.fastq.gz      FASTQ   DNA   398,357,158  59,082,556,501       75    148.3      151
