pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
HEL	HMA	chr1	1	50000	0.8175154320987654	136
HEL	HMA	chr1	50001	100000	0.758390618681763	110
HEL	HMA	chr1	100001	150000	0.864856429463171	146
HEL	HMA	chr1	150001	200000	0.8492152466367713	87
HEL	HMA	chr1	200001	250000	0.7626373626373627	179
HEL	HMA	chr1	250001	300000	0.8352400902352561	119
HEL	HMA	chr1	300001	350000	0.6831325301204819	99
HEL	HMA	chr1	350001	400000	0.6920169463366007	291
HEL	HMA	chr1	400001	450000	0.7106851260205892	132
HEL	HMA	chr1	450001	500000	0.6569814366424536	137
HEL	HMA	chr1	500001	550000	0.7666520595968448	97
HEL	HMA	chr1	550001	600000	0.7418120965814008	172
HEL	HMA	chr1	600001	650000	0.7499999999999999	3
HEL	HMA	chr1	650001	700000	0.6452702702702703	109
HEL	HMA	chr1	700001	750000	0.5953977445900639	177
HEL	HMA	chr1	750001	800000	0.6621683861459101	236
HEL	HMA	chr1	800001	850000	0.5281794586577678	148
HEL	HMA	chr1	850001	900000	0.4725205306380289	91
HEL	HMA	chr1	900001	950000	0.4025791553057704	1004
HEL	HMA	chr1	950001	1000000	0.3316264496820051	1425
HEL	HMA	chr1	1000001	1050000	0.2646165857043719	370
HEL	HMA	chr1	1050001	1100000	0.3104126595558663	381
HEL	HMA	chr1	1100001	1150000	0.3574430435744303	272
HEL	HMA	chr1	1150001	1200000	0.3760539629005058	183
HEL	HMA	chr1	1200001	1250000	0.2682926829268293	323
HEL	HMA	chr1	1250001	1300000	0.3393828328209978	269
HEL	HMA	chr1	1300001	1350000	0.4139990250243743	369
HEL	HMA	chr1	1350001	1400000	0.3864619054718949	393
HEL	HMA	chr1	1400001	1450000	0.4898783866995073	342
HEL	HMA	chr1	1450001	1500000	0.4245243570980556	528
HEL	HMA	chr1	1500001	1550000	0.3263888888888888	103
HEL	HMA	chr1	1550001	1600000	0.3523080912863069	126
HEL	HMA	chr1	1600001	1650000	0.3599397590361445	160
HEL	HMA	chr1	1650001	1700000	0.2940920938314509	74
HEL	HMA	chr1	1700001	1750000	0.2081766917293233	33
HEL	HMA	chr1	1750001	1800000	0.2781249999999999	23
HEL	HMA	chr1	1800001	1850000	0.2550919842312746	95
HEL	HMA	chr1	1850001	1900000	0.3113636363636363	189
HEL	HMA	chr1	1900001	1950000	0.2605779867256637	216
HEL	HMA	chr1	1950001	2000000	0.6110940144637637	289
HEL	HMA	chr1	2000001	2050000	0.7090904673986979	416
HEL	HMA	chr1	2050001	2100000	0.7034999999999999	244
HEL	HMA	chr1	2100001	2150000	0.5335649915992057	391
HEL	HMA	chr1	2150001	2200000	0.6668057874234835	274
HEL	HMA	chr1	2200001	2250000	0.541398849797023	304
HEL	HMA	chr1	2250001	2300000	0.5491665263512375	330
HEL	HMA	chr1	2300001	2350000	0.5278548312528895	257
HEL	HMA	chr1	2350001	2400000	0.4840604026845637	232
HEL	HMA	chr1	2400001	2450000	0.4442237857467089	272
HEL	HMA	chr1	2450001	2500000	0.4708083832335329	302
HEL	HMA	chr1	2500001	2550000	0.5308704453441295	287
HEL	HMA	chr1	2550001	2600000	0.474862258953168	337
HEL	HMA	chr1	2600001	2650000	0.5091508964143426	232
HEL	HMA	chr1	2650001	2700000	0.499892101855848	269
HEL	HMA	chr1	2700001	2750000	0.5093841895865766	334
HEL	HMA	chr1	2750001	2800000	0.5342046718576196	250
HEL	HMA	chr1	2800001	2850000	0.4797247367448733	340
HEL	HMA	chr1	2850001	2900000	0.4108110034207525	461
HEL	HMA	chr1	2900001	2950000	0.487139826763302	374
HEL	HMA	chr1	2950001	3000000	0.5087982484592929	388
HEL	HMA	chr1	3000001	3050000	0.5794037115911164	342
HEL	HMA	chr1	3050001	3100000	0.4464059388013761	339
HEL	HMA	chr1	3100001	3150000	0.5699334627113944	198
HEL	HMA	chr1	3150001	3200000	0.6526625746516257	288
HEL	HMA	chr1	3200001	3250000	0.3506532422390027	456
HEL	HMA	chr1	3250001	3300000	0.279393816110659	149
HEL	HMA	chr1	3300001	3350000	0.2595036958817317	64
HEL	HMA	chr1	3400001	3450000	0.2789415656008819	277
HEL	HMA	chr1	3450001	3500000	0.3062265163714439	122
HEL	HMA	chr1	3500001	3550000	0.6562256809338521	297
HEL	HMA	chr1	3550001	3600000	0.7208009880028228	131
HEL	HMA	chr1	3600001	3650000	0.8374012921751615	244
HEL	HMA	chr1	3650001	3700000	0.2333333333333333	6
HEL	HMA	chr1	3750001	3800000	0.2299864314789687	48
HEL	HMA	chr1	3800001	3850000	0.3695652173913042	6
HEL	HMA	chr1	3900001	3950000	0.2909482758620689	31
HEL	HMA	chr1	4000001	4050000	0.4618834080717489	46
HEL	HMA	chr1	4050001	4100000	0.5580568720379145	55
HEL	HMA	chr1	4100001	4150000	0.7050045913682277	141
HEL	HMA	chr1	4150001	4200000	0.5557491289198605	45
