pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
HCU	HEL	chr1	1	50000	0.6693319741327132	161
HCU	HEL	chr1	50001	100000	0.6112261640478808	191
HCU	HEL	chr1	100001	150000	0.6151803255683413	215
HCU	HEL	chr1	150001	200000	0.6257438286883343	59
HCU	HEL	chr1	200001	250000	0.5476509365216452	208
HCU	HEL	chr1	250001	300000	0.7463292418146239	104
HCU	HEL	chr1	300001	350000	0.687273332543765	88
HCU	HEL	chr1	350001	400000	0.632988590421058	405
HCU	HEL	chr1	400001	450000	0.6583918242642081	105
HCU	HEL	chr1	450001	500000	0.6007862647678824	139
HCU	HEL	chr1	500001	550000	0.4634198622142698	92
HCU	HEL	chr1	550001	600000	0.500987290807341	144
HCU	HEL	chr1	600001	650000	0.4419100236779795	13
HCU	HEL	chr1	650001	700000	0.5603262620925091	112
HCU	HEL	chr1	700001	750000	0.5264184024216313	278
HCU	HEL	chr1	750001	800000	0.45491210001328	327
HCU	HEL	chr1	800001	850000	0.4075971074413718	1164
HCU	HEL	chr1	850001	900000	0.3241569858712717	88
HCU	HEL	chr1	900001	950000	0.283193945181608	1391
HCU	HEL	chr1	950001	1000000	0.2538091122983859	1557
HCU	HEL	chr1	1000001	1050000	0.2310593162193343	543
HCU	HEL	chr1	1050001	1100000	0.2736407324849891	361
HCU	HEL	chr1	1100001	1150000	0.2611060196523298	373
HCU	HEL	chr1	1150001	1200000	0.3121524487862255	239
HCU	HEL	chr1	1200001	1250000	0.2500074164463158	369
HCU	HEL	chr1	1250001	1300000	0.237149045939318	254
HCU	HEL	chr1	1300001	1350000	0.2403350889438209	569
HCU	HEL	chr1	1350001	1400000	0.2885118542388267	420
HCU	HEL	chr1	1400001	1450000	0.4930838882388	246
HCU	HEL	chr1	1450001	1500000	0.3307926664970053	802
HCU	HEL	chr1	1500001	1550000	0.293624062423881	254
HCU	HEL	chr1	1550001	1600000	0.2353531703853678	187
HCU	HEL	chr1	1600001	1650000	0.2553896362976146	378
HCU	HEL	chr1	1650001	1700000	0.338856230549077	107
HCU	HEL	chr1	1700001	1750000	0.3119912289914621	477
HCU	HEL	chr1	1750001	1800000	0.2822120500680629	604
HCU	HEL	chr1	1800001	1850000	0.2459075314491096	375
HCU	HEL	chr1	1850001	1900000	0.2508997613232878	202
HCU	HEL	chr1	1900001	1950000	0.2910030436215648	378
HCU	HEL	chr1	1950001	2000000	0.523111100697987	359
HCU	HEL	chr1	2000001	2050000	0.3929156515199548	613
HCU	HEL	chr1	2050001	2100000	0.4966460940071027	404
HCU	HEL	chr1	2100001	2150000	0.4545825276372175	663
HCU	HEL	chr1	2150001	2200000	0.4882037739465089	406
HCU	HEL	chr1	2200001	2250000	0.3665763321053912	475
HCU	HEL	chr1	2250001	2300000	0.372890004980398	539
HCU	HEL	chr1	2300001	2350000	0.3619991447523906	349
HCU	HEL	chr1	2350001	2400000	0.3623448237122474	206
HCU	HEL	chr1	2400001	2450000	0.3264238667183262	301
HCU	HEL	chr1	2450001	2500000	0.4213556652753943	432
HCU	HEL	chr1	2500001	2550000	0.3722433783147049	412
HCU	HEL	chr1	2550001	2600000	0.3915785191212368	457
HCU	HEL	chr1	2600001	2650000	0.4690527029706669	321
HCU	HEL	chr1	2650001	2700000	0.3828352365259249	372
HCU	HEL	chr1	2700001	2750000	0.318959915465974	530
HCU	HEL	chr1	2750001	2800000	0.2851589530959238	241
HCU	HEL	chr1	2800001	2850000	0.3304886368196472	565
HCU	HEL	chr1	2850001	2900000	0.3660724166091187	655
HCU	HEL	chr1	2900001	2950000	0.4050518253770551	633
HCU	HEL	chr1	2950001	3000000	0.4234789446953521	591
HCU	HEL	chr1	3000001	3050000	0.538935072610698	316
HCU	HEL	chr1	3050001	3100000	0.3877316448549132	249
HCU	HEL	chr1	3100001	3150000	0.4366731348192593	329
HCU	HEL	chr1	3150001	3200000	0.4306480276456907	487
HCU	HEL	chr1	3200001	3250000	0.3289292354806956	140
HCU	HEL	chr1	3250001	3300000	0.2872223826525255	128
HCU	HEL	chr1	3300001	3350000	0.2124027154241685	28
HCU	HEL	chr1	3400001	3450000	0.2453219048138999	185
HCU	HEL	chr1	3450001	3500000	0.2960389456059347	149
HCU	HEL	chr1	3500001	3550000	0.6377125411027053	223
HCU	HEL	chr1	3550001	3600000	0.6449741074321131	230
HCU	HEL	chr1	3600001	3650000	0.6812043296527371	409
HCU	HEL	chr1	3650001	3700000	0.317523801243316	19
HCU	HEL	chr1	3700001	3750000	0.4020141483490431	4
HCU	HEL	chr1	3750001	3800000	0.5751631166161197	23
HCU	HEL	chr1	3800001	3850000	0.3804633761374929	13
HCU	HEL	chr1	3900001	3950000	0.4437158053262672	14
HCU	HEL	chr1	4000001	4050000	0.3345067976005744	28
HCU	HEL	chr1	4050001	4100000	0.3674059978012334	36
HCU	HEL	chr1	4100001	4150000	0.7483516409778094	193
HCU	HEL	chr1	4150001	4200000	0.4949335149644372	147
HCU	HEL	chr1	4200001	4250000	0.7515554964168267	305
HCU	HEL	chr1	4250001	4300000	0.7068779082964038	417
HCU	HEL	chr1	4300001	4350000	0.501088960874825	453
HCU	HEL	chr1	4350001	4400000	0.3824179878073123	1072
HCU	HEL	chr1	4400001	4450000	0.3932960101605081	453
HCU	HEL	chr1	4450001	4500000	0.2165804971860989	64
HCU	HEL	chr1	4500001	4550000	0.4376050798246572	434
HCU	HEL	chr1	4550001	4600000	0.2957230710328598	1101
HCU	HEL	chr1	4600001	4650000	0.4023363749839858	849
HCU	HEL	chr1	4650001	4700000	0.3269331513406739	205
HCU	HEL	chr1	4700001	4750000	0.338124453451411	518
HCU	HEL	chr1	4750001	4800000	0.5464093590416735	540
HCU	HEL	chr1	4800001	4850000	0.4532561991321962	579
HCU	HEL	chr1	4850001	4900000	0.4163831828353753	597
HCU	HEL	chr1	4900001	4950000	0.369649585611103	763
HCU	HEL	chr1	4950001	5000000	0.4748625518156836	562
HCU	HEL	chr1	5000001	5050000	0.3727107302236704	624
HCU	HEL	chr1	5050001	5100000	0.3839294305495341	554
HCU	HEL	chr1	5100001	5150000	0.3673541872520107	502
HCU	HEL	chr1	5150001	5200000	0.450823745159458	577
HCU	HEL	chr1	5200001	5250000	0.340651953708969	848
HCU	HEL	chr1	5250001	5300000	0.3506040930385469	558
HCU	HEL	chr1	5300001	5350000	0.4188480522787851	729
HCU	HEL	chr1	5350001	5400000	0.2920739374415962	626
HCU	HEL	chr1	5400001	5450000	0.3650540422546814	591
HCU	HEL	chr1	5450001	5500000	0.3607175139221534	587
HCU	HEL	chr1	5500001	5550000	0.4029407073447248	597
HCU	HEL	chr1	5550001	5600000	0.3661805182599356	165
HCU	HEL	chr1	5600001	5650000	0.3789674263569595	545
HCU	HEL	chr1	5650001	5700000	0.2837987460430141	743
HCU	HEL	chr1	5700001	5750000	0.3028708002999066	750
HCU	HEL	chr1	5750001	5800000	0.3741082060915877	531
HCU	HEL	chr1	5800001	5850000	0.2925153053298214	670
HCU	HEL	chr1	5850001	5900000	0.3675417156241526	705
HCU	HEL	chr1	5900001	5950000	0.3089900892713754	468
HCU	HEL	chr1	5950001	6000000	0.378270702876482	543
HCU	HEL	chr1	6000001	6050000	0.3357012265598185	609
HCU	HEL	chr1	6050001	6100000	0.2466953622101067	353
HCU	HEL	chr1	6100001	6150000	0.4887683958491949	609
HCU	HEL	chr1	6150001	6200000	0.3569113150930496	716
HCU	HEL	chr1	6200001	6250000	0.3333409157285822	580
HCU	HEL	chr1	6250001	6300000	0.3548412442740295	446
HCU	HEL	chr1	6300001	6350000	0.3150343434124283	643
HCU	HEL	chr1	6350001	6400000	0.4021239926633943	412
HCU	HEL	chr1	6400001	6450000	0.3044742535963589	488
HCU	HEL	chr1	6450001	6500000	0.5244463738487238	409
HCU	HEL	chr1	6500001	6550000	0.5129771319174996	442
HCU	HEL	chr1	6550001	6600000	0.4516508699025259	553
HCU	HEL	chr1	6600001	6650000	0.3598135644614988	747
HCU	HEL	chr1	6650001	6700000	0.3519642423106681	590
HCU	HEL	chr1	6700001	6750000	0.4860117131613099	551
HCU	HEL	chr1	6750001	6800000	0.3207566729442216	640
HCU	HEL	chr1	6800001	6850000	0.3965556256137722	579
HCU	HEL	chr1	6850001	6900000	0.3992716877295094	731
HCU	HEL	chr1	6900001	6950000	0.3093599480590074	449
HCU	HEL	chr1	6950001	7000000	0.4706972254023311	645
HCU	HEL	chr1	7000001	7050000	0.3971680523429964	633
HCU	HEL	chr1	7050001	7100000	0.3828004071548104	448
HCU	HEL	chr1	7100001	7150000	0.4144163877130246	528
HCU	HEL	chr1	7150001	7200000	0.3470611735577137	430
HCU	HEL	chr1	7200001	7250000	0.4246575342465754	561
HCU	HEL	chr1	7250001	7300000	0.3253444316877152	421
HCU	HEL	chr1	7300001	7350000	0.4855977621500091	111
HCU	HEL	chr1	7350001	7400000	0.4425252938112539	898
HCU	HEL	chr1	7400001	7450000	0.3210564435590998	841
HCU	HEL	chr1	7450001	7500000	0.3289084055959302	691
HCU	HEL	chr1	7500001	7550000	0.3368083518232572	644
HCU	HEL	chr1	7550001	7600000	0.3848445836005152	832
HCU	HEL	chr1	7600001	7650000	0.4795510186431874	472
HCU	HEL	chr1	7650001	7700000	0.40890715079109	720
