CHROM	BIN_START	N_SNPS	TajimaD
chr1	0	122	-1.58596
chr1	50000	107	-1.13059
chr1	100000	125	-0.55062
chr1	150000	88	0.21973
chr1	200000	133	-0.276393
chr1	250000	117	-1.09932
chr1	300000	82	-0.584571
chr1	350000	165	-0.308697
chr1	400000	106	-0.456194
chr1	450000	170	-0.744785
chr1	500000	115	-0.660143
chr1	550000	268	-0.415097
chr1	600000	18	0.011031
chr1	650000	146	-0.410133
chr1	700000	205	-0.409979
chr1	750000	267	1.04016
chr1	800000	583	1.2509
chr1	850000	61	0.519726
chr1	900000	885	1.41419
chr1	950000	896	0.791088
chr1	1000000	517	1.43444
chr1	1050000	293	1.37792
chr1	1100000	296	1.1211
chr1	1150000	379	0.901187
chr1	1200000	358	1.46011
chr1	1250000	157	0.539621
chr1	1300000	296	1.0372
chr1	1350000	242	1.14527
chr1	1400000	204	1.07028
chr1	1450000	642	1.27783
chr1	1500000	183	1.35495
chr1	1550000	162	1.18316
chr1	1600000	281	1.46542
chr1	1650000	85	0.972062
chr1	1700000	249	1.5581
chr1	1750000	347	1.22785
chr1	1800000	318	1.43061
chr1	1850000	247	1.44452
chr1	1900000	417	1.29612
chr1	1950000	256	-0.190395
chr1	2000000	483	-0.185202
chr1	2050000	282	-0.309548
chr1	2100000	436	-0.779486
chr1	2150000	311	-0.508612
chr1	2200000	334	-0.238162
chr1	2250000	380	-0.451861
chr1	2300000	227	-0.221069
chr1	2350000	261	-0.340285
chr1	2400000	340	-0.450884
chr1	2450000	331	-0.355558
chr1	2500000	274	-0.193233
chr1	2550000	354	-0.117342
chr1	2600000	244	-0.120054
chr1	2650000	248	-0.515331
chr1	2700000	439	-0.284822
chr1	2750000	340	-0.520274
chr1	2800000	427	-0.272242
chr1	2850000	435	-0.397721
chr1	2900000	421	-0.0716299
chr1	2950000	447	-0.26724
chr1	3000000	358	-0.321365
chr1	3050000	385	-0.270696
chr1	3100000	262	-0.0762637
chr1	3150000	269	-0.318835
chr1	3200000	231	1.36661
chr1	3250000	195	0.873524
chr1	3300000	34	0.465542
chr1	3350000	0	nan
chr1	3400000	172	0.362519
chr1	3450000	101	0.917311
chr1	3500000	101	-0.282505
chr1	3550000	88	-0.659948
chr1	3600000	289	-0.91483
chr1	3650000	25	0.56658
chr1	3700000	2	1.64145
chr1	3750000	3	0.699617
chr1	3800000	6	0.544376
chr1	3850000	0	nan
chr1	3900000	10	1.05695
chr1	3950000	2	-1.40085
chr1	4000000	25	0.458839
chr1	4050000	35	0.219224
chr1	4100000	73	-0.140941
chr1	4150000	95	1.2314
chr1	4200000	131	0.193708
chr1	4250000	250	1.06579
chr1	4300000	289	1.40193
chr1	4350000	1080	1.66253
chr1	4400000	238	0.518736
chr1	4450000	175	1.35419
chr1	4500000	380	0.86329
chr1	4550000	711	1.12589
chr1	4600000	585	0.965553
chr1	4650000	221	1.38839
chr1	4700000	458	0.518883
chr1	4750000	295	-0.518471
chr1	4800000	413	-0.549214
chr1	4850000	390	-0.41374
chr1	4900000	461	-0.656513
chr1	4950000	364	-0.357098
chr1	5000000	394	-0.299814
chr1	5050000	348	-0.475144
chr1	5100000	378	-0.227945
chr1	5150000	381	0.295289
chr1	5200000	568	-0.0499807
chr1	5250000	352	-0.504291
chr1	5300000	552	-0.183557
chr1	5350000	446	-0.30038
chr1	5400000	370	-0.116123
chr1	5450000	363	-0.639874
chr1	5500000	404	-0.707761
chr1	5550000	195	-0.353547
chr1	5600000	350	-0.441711
chr1	5650000	555	-0.536092
chr1	5700000	531	-0.375881
chr1	5750000	389	-0.203703
chr1	5800000	467	-0.433954
chr1	5850000	459	-0.263625
chr1	5900000	358	-0.0137593
chr1	5950000	411	-0.152971
chr1	6000000	410	0.096118
chr1	6050000	255	-0.304587
chr1	6100000	451	-0.426603
chr1	6150000	541	-0.2234
chr1	6200000	448	-0.5407
chr1	6250000	291	-0.681521
chr1	6300000	530	-0.225067
chr1	6350000	352	-0.399717
chr1	6400000	324	-0.301715
chr1	6450000	300	-0.330177
chr1	6500000	334	-0.314445
chr1	6550000	306	-0.295415
chr1	6600000	520	-0.457129
chr1	6650000	405	-0.725378
chr1	6700000	320	-0.618359
chr1	6750000	414	-0.156216
chr1	6800000	379	-0.450635
chr1	6850000	516	-0.369315
chr1	6900000	379	-0.399153
chr1	6950000	408	-0.505359
chr1	7000000	458	-0.286265
chr1	7050000	304	-0.337878
chr1	7100000	357	-0.451898
chr1	7150000	311	-0.0687877
chr1	7200000	372	-0.616975
chr1	7250000	307	-0.238031
chr1	7300000	83	-0.3378
chr1	7350000	590	0.0448404
chr1	7400000	528	0.310967
chr1	7450000	543	-0.149364
chr1	7500000	492	-0.245306
chr1	7550000	669	0.0854293
chr1	7600000	352	-0.409549
chr1	7650000	522	-0.463719
chr1	7700000	366	-0.128024
chr1	7750000	392	-0.299079
chr1	7800000	622	-0.0963061
chr1	7850000	373	-0.343589
chr1	7900000	318	-0.467153
chr1	7950000	371	-0.365949
chr1	8000000	514	-0.314479
chr1	8050000	456	-0.0238442
chr1	8100000	373	-0.528352
chr1	8150000	222	-0.650834
chr1	8200000	312	-0.372849
chr1	8250000	322	-0.276415
chr1	8300000	374	-0.0607211
chr1	8350000	353	-0.460896
chr1	8400000	552	-0.328537
chr1	8450000	342	-0.597097
chr1	8500000	364	-0.0726968
chr1	8550000	313	-0.514231
chr1	8600000	431	-0.167911
chr1	8650000	393	-0.513683
chr1	8700000	337	-0.440207
chr1	8750000	474	-0.236439
chr1	8800000	287	-0.679334
chr1	8850000	302	-0.327807
chr1	8900000	589	-0.0878178
chr1	8950000	481	0.0306447
chr1	9000000	527	-0.309605
chr1	9050000	385	-0.329553
chr1	9100000	337	-0.136849
chr1	9150000	585	-0.366031
chr1	9200000	410	0.150631
chr1	9250000	393	-0.341493
chr1	9300000	367	-0.0710079
