scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr1,1,50000,28448,181,170,0.0,2.3333,-1.0,-0.1386,-0.0693
chr1,50001,100000,78346,148,121,0.0,0.0,nan,0.0,0.0
chr1,100001,150000,120042,207,189,1.5167,4.9333,-0.5297,-0.1273,-0.0747
chr1,150001,200000,183161,63,62,0.0,0.0,nan,0.0,0.0
chr1,200001,250000,228092,251,242,3.3467,3.6133,-0.0383,-0.0081,-0.006
chr1,250001,300000,277796,96,90,1.1667,3.1833,-0.4636,-0.1656,-0.0868
chr1,300001,350000,344069,80,80,1.8667,1.0,0.3023,0.0669,0.0503
chr1,350001,400000,377005,345,328,3.9333,6.35,-0.235,-0.0718,-0.0367
chr1,400001,450000,426574,120,117,1.0583,1.8833,-0.2805,-0.044,-0.0291
chr1,450001,500000,469180,116,109,1.2783,0.87,0.1901,0.0361,0.0226
chr1,500001,550000,529680,69,65,0.65,1.5833,-0.4179,-0.0922,-0.0674
chr1,550001,600000,565315,144,124,2.4333,2.9333,-0.0932,-0.0352,-0.0228
chr1,600001,650000,nan,0,nan,nan,nan,nan,nan,nan
chr1,650001,700000,681875,115,103,2.1333,0.5083,0.6151,0.1227,0.0858
chr1,700001,750000,731915,228,218,3.125,4.0917,-0.1339,-0.0378,-0.0256
chr1,750001,800000,787643,290,262,7.425,1.8083,0.6083,0.171,0.1243
chr1,800001,850000,819557,74,61,0.75,0.2333,0.5254,0.0567,0.0462
chr1,850001,900000,883467,24,16,0.0,0.05,-1.0,-0.1722,-0.0542
chr1,900001,950000,929894,1211,978,17.9725,14.5058,0.1067,0.0474,0.0268
chr1,950001,1000000,971211,1226,877,15.3033,9.345,0.2417,0.0931,0.0602
chr1,1000001,1050000,1010977,291,242,1.47,2.1367,-0.1848,-0.0603,-0.0359
chr1,1050001,1100000,1080063,310,252,3.2933,2.185,0.2023,0.0547,0.0399
chr1,1100001,1150000,1141230,200,137,2.055,0.5217,0.5951,0.1538,0.0932
chr1,1150001,1200000,1161979,224,156,2.3208,1.7125,0.1508,0.0591,0.0332
chr1,1200001,1250000,1229477,156,118,1.0475,1.8808,-0.2846,-0.1264,-0.0737
chr1,1250001,1300000,1282437,117,93,1.815,0.6567,0.4686,0.2247,0.1408
chr1,1300001,1350000,1334367,232,177,6.7617,2.595,0.4453,0.2629,0.1738
chr1,1350001,1400000,1371559,318,218,4.3,1.1667,0.5732,0.1727,0.1173
chr1,1400001,1450000,1442018,253,206,6.075,2.2583,0.458,0.1619,0.0982
chr1,1450001,1500000,1466746,572,453,5.7442,5.9192,-0.015,-0.0051,-0.003
chr1,1500001,1550000,1533679,50,34,0.36,0.7267,-0.3374,-0.1378,-0.0924
chr1,1550001,1600000,1574695,153,105,0.725,1.0583,-0.1869,-0.0711,-0.0403
