chrom	length	bases	mean	min	max
chr1	434526931	8401150991	19.33	0	403
chr2	381225800	6897089075	18.09	0	1006
chr3	268276564	5018649358	18.71	0	583
chr4	218045602	4126389489	18.92	0	2341
chr5	142905876	2656034715	18.59	0	310
chr6	106938139	1901438851	17.78	0	1461
chr7	42362139	581391373	13.72	0	593
chr8	34083018	525575723	15.42	0	846
chr9	30848814	555273942	18.00	0	520
chr10	28798323	430343345	14.94	0	1734
chr11	28504944	469578760	16.47	0	285
chr12	23795472	307992685	12.94	0	371
chr13	19560250	357994425	18.30	0	1186
chr14	16934482	198591694	11.73	0	176
chr15	16659334	186212619	11.18	0	606
chrZ	171188827	3232809188	18.88	0	2463
total	1964654515	35846516233	18.25	0	2463
