pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
HCU	HEL	chr1	1	50000	0.0037580595640159	26056	9792	2605600	0
HCU	HEL	chr1	50001	100000	0.0038555072335138	22534	8688	2253400	0
HCU	HEL	chr1	100001	150000	0.003846812152332	23370	8990	2337000	0
HCU	HEL	chr1	150001	200000	0.0036482254697286	19160	6990	1916000	0
HCU	HEL	chr1	200001	250000	0.0043010258765885	26124	11236	2612400	0
HCU	HEL	chr1	250001	300000	0.0053599735799207	18168	9738	1816800	0
HCU	HEL	chr1	300001	350000	0.0043903743315508	14960	6568	1496000	0
HCU	HEL	chr1	350001	400000	0.0064978111319574	22386	14546	2238600	0
HCU	HEL	chr1	400001	450000	0.0048659768863072	16527	8042	1652700	0
HCU	HEL	chr1	450001	500000	0.0051780311845473	17188	8900	1718800	0
HCU	HEL	chr1	500001	550000	0.0039838532110091	13625	5428	1362500	0
HCU	HEL	chr1	550001	600000	0.0061839263385244	17594	10880	1759400	0
HCU	HEL	chr1	600001	650000	0.0056433007985803	1127	636	112700	0
HCU	HEL	chr1	650001	700000	0.0075466790524849	10765	8124	1076500	0
HCU	HEL	chr1	700001	750000	0.0059280956205414	21167	12548	2116700	0
HCU	HEL	chr1	750001	800000	0.0074723272445679	21953	16404	2195300	0
HCU	HEL	chr1	800001	850000	0.0113348476044582	37862	42916	3786200	0
HCU	HEL	chr1	850001	900000	0.0116330145235565	2823	3284	282300	0
HCU	HEL	chr1	900001	950000	0.0138068528582638	34409	47508	3440900	0
HCU	HEL	chr1	950001	1000000	0.0126048376665373	38655	48724	3865500	0
HCU	HEL	chr1	1000001	1050000	0.013227180982283	13377	17694	1337700	0
HCU	HEL	chr1	1050001	1100000	0.0120738874895046	10719	12942	1071900	0
HCU	HEL	chr1	1100001	1150000	0.0119580291970802	10960	13106	1096000	0
HCU	HEL	chr1	1150001	1200000	0.0124311338885329	6244	7762	624400	0
HCU	HEL	chr1	1200001	1250000	0.0126467803030303	12672	16026	1267200	0
HCU	HEL	chr1	1250001	1300000	0.0127568697729988	6696	8542	669600	0
HCU	HEL	chr1	1300001	1350000	0.0150255918106206	12504	18788	1250400	0
HCU	HEL	chr1	1350001	1400000	0.0141746847267631	10705	15174	1070500	0
HCU	HEL	chr1	1400001	1450000	0.0114430268367795	9092	10404	909200	0
HCU	HEL	chr1	1450001	1500000	0.0135598629558361	21307	28892	2130700	0
HCU	HEL	chr1	1500001	1550000	0.0135448123008726	7219	9778	721900	0
HCU	HEL	chr1	1550001	1600000	0.0092018186410709	7918	7286	791800	0
HCU	HEL	chr1	1600001	1650000	0.0124707943925233	10272	12810	1027200	0
HCU	HEL	chr1	1650001	1700000	0.0098095441900278	4673	4584	467300	0
HCU	HEL	chr1	1700001	1750000	0.013348099951547	14447	19284	1444700	0
HCU	HEL	chr1	1750001	1800000	0.01221316536989	16194	19778	1619400	0
HCU	HEL	chr1	1800001	1850000	0.0110381117041268	13303	14684	1330300	0
HCU	HEL	chr1	1850001	1900000	0.0104071082390953	6190	6442	619000	0
HCU	HEL	chr1	1900001	1950000	0.0117684784351451	12474	14680	1247400	0
HCU	HEL	chr1	1950001	2000000	0.0062758457534894	21135	13264	2113500	0
HCU	HEL	chr1	2000001	2050000	0.0084994514305004	23698	20142	2369800	0
HCU	HEL	chr1	2050001	2100000	0.0070521094458371	18749	13222	1874900	0
HCU	HEL	chr1	2100001	2150000	0.0079012533232054	26330	20804	2633000	0
HCU	HEL	chr1	2150001	2200000	0.0077095855741853	18966	14622	1896600	0
HCU	HEL	chr1	2200001	2250000	0.0099234107735511	15668	15548	1566800	0
HCU	HEL	chr1	2250001	2300000	0.0065868212062674	23295	15344	2329500	0
HCU	HEL	chr1	2300001	2350000	0.0066499449406582	16346	10870	1634600	0
HCU	HEL	chr1	2350001	2400000	0.0068205568119784	12823	8746	1282300	0
HCU	HEL	chr1	2400001	2450000	0.0068893798157228	18559	12786	1855900	0
HCU	HEL	chr1	2450001	2500000	0.0081805150511591	20231	16550	2023100	0
HCU	HEL	chr1	2500001	2550000	0.0085440105890138	15110	12910	1511000	0
HCU	HEL	chr1	2550001	2600000	0.0075107416402017	21412	16082	2141200	0
HCU	HEL	chr1	2600001	2650000	0.0085215605749486	15584	13280	1558400	0
HCU	HEL	chr1	2650001	2700000	0.0062186913825444	18126	11272	1812600	0
HCU	HEL	chr1	2700001	2750000	0.0065366148727836	26451	17290	2645100	0
HCU	HEL	chr1	2750001	2800000	0.0085808661609982	16348	14028	1634800	0
HCU	HEL	chr1	2800001	2850000	0.0076969696969696	22440	17272	2244000	0
HCU	HEL	chr1	2850001	2900000	0.0072259907176008	25209	18216	2520900	0
HCU	HEL	chr1	2900001	2950000	0.0110490041786508	18427	20360	1842700	0
HCU	HEL	chr1	2950001	3000000	0.0090383146925391	22263	20122	2226300	0
HCU	HEL	chr1	3000001	3050000	0.010134128166915	17446	17680	1744600	0
HCU	HEL	chr1	3050001	3100000	0.0081022102023687	21446	17376	2144600	0
HCU	HEL	chr1	3100001	3150000	0.008374137615239	16379	13716	1637900	0
HCU	HEL	chr1	3150001	3200000	0.005261804414601	27998	14732	2799800	0
HCU	HEL	chr1	3200001	3250000	0.0126524587139034	10839	13714	1083900	0
HCU	HEL	chr1	3250001	3300000	0.0126333426417201	7162	9048	716200	0
HCU	HEL	chr1	3300001	3350000	0.0098390557939914	1864	1834	186400	0
HCU	HEL	chr1	3350001	3400000	NA	0	NA	NA	NA
HCU	HEL	chr1	3400001	3450000	0.0095332823259372	7842	7476	784200	0
HCU	HEL	chr1	3450001	3500000	0.0108618941391198	4931	5356	493100	0
HCU	HEL	chr1	3500001	3550000	0.0048038125496425	18885	9072	1888500	0
HCU	HEL	chr1	3550001	3600000	0.0059945973906546	17399	10430	1739900	0
HCU	HEL	chr1	3600001	3650000	0.0073388429752066	26620	19536	2662000	0
HCU	HEL	chr1	3650001	3700000	0.0109336609336609	814	890	81400	0
HCU	HEL	chr1	3700001	3750000	0.0107262569832402	179	192	17900	0
HCU	HEL	chr1	3750001	3800000	0.0061691542288557	1005	620	100500	0
HCU	HEL	chr1	3800001	3850000	0.0088319088319088	702	620	70200	0
HCU	HEL	chr1	3850001	3900000	NA	0	NA	NA	NA
HCU	HEL	chr1	3900001	3950000	0.0157107231920199	401	630	40100	0
HCU	HEL	chr1	3950001	4000000	NA	0	NA	NA	NA
HCU	HEL	chr1	4000001	4050000	0.007382053654024	1081	798	108100	0
HCU	HEL	chr1	4050001	4100000	0.0057940663176265	2292	1328	229200	0
HCU	HEL	chr1	4100001	4150000	0.0058766594728925	15291	8986	1529100	0
HCU	HEL	chr1	4150001	4200000	0.0107452811831095	5139	5522	513900	0
HCU	HEL	chr1	4200001	4250000	0.0067838172450976	25039	16986	2503900	0
HCU	HEL	chr1	4250001	4300000	0.0072343599465456	32177	23278	3217700	0
HCU	HEL	chr1	4300001	4350000	0.0077992592592592	27000	21058	2700000	0
HCU	HEL	chr1	4350001	4400000	0.0171103693650735	27263	46648	2726300	0
HCU	HEL	chr1	4400001	4450000	0.0095648077262823	16981	16242	1698100	0
HCU	HEL	chr1	4450001	4500000	0.0149489795918367	1568	2344	156800	0
HCU	HEL	chr1	4500001	4550000	0.0116444974649567	16765	19522	1676500	0
HCU	HEL	chr1	4550001	4600000	0.0125411577270313	30128	37784	3012800	0
HCU	HEL	chr1	4600001	4650000	0.0159134250274238	23702	37718	2370200	0
HCU	HEL	chr1	4650001	4700000	0.0098957234915055	8535	8446	853500	0
HCU	HEL	chr1	4700001	4750000	0.0076574142307377	24426	18704	2442600	0
HCU	HEL	chr1	4750001	4800000	0.007575406495945	25031	18962	2503100	0
HCU	HEL	chr1	4800001	4850000	0.0079307216494845	24250	19232	2425000	0
HCU	HEL	chr1	4850001	4900000	0.0080195428372011	22924	18384	2292400	0
HCU	HEL	chr1	4900001	4950000	0.0080217216998323	27438	22010	2743800	0
HCU	HEL	chr1	4950001	5000000	0.0077903006718308	27239	21220	2723900	0
HCU	HEL	chr1	5000001	5050000	0.0061793754780353	30071	18582	3007100	0
HCU	HEL	chr1	5050001	5100000	0.0054698708751793	27880	15250	2788000	0
HCU	HEL	chr1	5100001	5150000	0.0089446140427387	18344	16408	1834400	0
HCU	HEL	chr1	5150001	5200000	0.0117244098924004	17751	20812	1775100	0
HCU	HEL	chr1	5200001	5250000	0.0088952748172129	27491	24454	2749100	0
HCU	HEL	chr1	5250001	5300000	0.0074382689119623	22922	17050	2292200	0
HCU	HEL	chr1	5300001	5350000	0.0086606548894966	27058	23434	2705800	0
HCU	HEL	chr1	5350001	5400000	0.0081897817131492	21119	17296	2111900	0
HCU	HEL	chr1	5400001	5450000	0.0090112069820489	20166	18172	2016600	0
HCU	HEL	chr1	5450001	5500000	0.0076018717098849	20516	15596	2051600	0
HCU	HEL	chr1	5500001	5550000	0.007409418677112	22466	16646	2246600	0
HCU	HEL	chr1	5550001	5600000	0.0102057998129092	6414	6546	641400	0
HCU	HEL	chr1	5600001	5650000	0.0068053691275167	23840	16224	2384000	0
HCU	HEL	chr1	5650001	5700000	0.0071256921164638	26549	18918	2654900	0
HCU	HEL	chr1	5700001	5750000	0.0073957047642557	28357	20972	2835700	0
HCU	HEL	chr1	5750001	5800000	0.0091539878915504	18995	17388	1899500	0
HCU	HEL	chr1	5800001	5850000	0.007605272167066	23368	17772	2336800	0
HCU	HEL	chr1	5850001	5900000	0.0069061848980567	29281	20222	2928100	0
HCU	HEL	chr1	5900001	5950000	0.0089364664926022	17235	15402	1723500	0
HCU	HEL	chr1	5950001	6000000	0.0084354584902961	20971	17690	2097100	0
HCU	HEL	chr1	6000001	6050000	0.0093661618694213	19942	18678	1994200	0
HCU	HEL	chr1	6050001	6100000	0.0076338514680483	12159	9282	1215900	0
HCU	HEL	chr1	6100001	6150000	0.0100631084584902	20441	20570	2044100	0
HCU	HEL	chr1	6150001	6200000	0.0089428448646325	23270	20810	2327000	0
HCU	HEL	chr1	6200001	6250000	0.0079964289070576	21282	17018	2128200	0
HCU	HEL	chr1	6250001	6300000	0.0080524651598547	17078	13752	1707800	0
HCU	HEL	chr1	6300001	6350000	0.0100366151342554	19664	19736	1966400	0
HCU	HEL	chr1	6350001	6400000	0.0083013456871828	18132	15052	1813200	0
HCU	HEL	chr1	6400001	6450000	0.0078616461333796	17289	13592	1728900	0
HCU	HEL	chr1	6450001	6500000	0.0073129521094038	18939	13850	1893900	0
HCU	HEL	chr1	6500001	6550000	0.0076444035006909	21710	16596	2171000	0
HCU	HEL	chr1	6550001	6600000	0.0083837007096865	21277	17838	2127700	0
HCU	HEL	chr1	6600001	6650000	0.0061264554163596	33925	20784	3392500	0
HCU	HEL	chr1	6650001	6700000	0.0055511659616124	28603	15878	2860300	0
HCU	HEL	chr1	6700001	6750000	0.0057987830762699	28268	16392	2826800	0
HCU	HEL	chr1	6750001	6800000	0.0066489281966721	26684	17742	2668400	0
HCU	HEL	chr1	6800001	6850000	0.006446032342986	26590	17140	2659000	0
HCU	HEL	chr1	6850001	6900000	0.0070034619823054	31196	21848	3119600	0
HCU	HEL	chr1	6900001	6950000	0.0075990149805048	19492	14812	1949200	0
