pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
HMA	chr1	1	50000	0.0003642987249544	17873	293	804285	0
HMA	chr1	50001	100000	0.0006141744194841	14690	406	661050	0
HMA	chr1	100001	150000	0.00053760080015	15997	387	719865	0
HMA	chr1	150001	200000	0.0002596278667243	9244	108	415980	0
HMA	chr1	200001	250000	0.0006493332260055	16564	484	745380	0
HMA	chr1	250001	300000	0.0004943264801707	10879	242	489555	0
HMA	chr1	300001	350000	0.0014568274780075	7932	520	356940	0
HMA	chr1	350001	400000	0.0022358794263974	17085	1719	768825	0
HMA	chr1	400001	450000	0.0016265248670628	9591	702	431595	0
HMA	chr1	450001	500000	0.0013559255323336	11292	689	508140	0
HMA	chr1	500001	550000	0.0008304627626905	8322	311	374490	0
HMA	chr1	550001	600000	0.0016900920786401	10269	781	462105	0
HMA	chr1	600001	650000	0.0	253	0	11385	0
HMA	chr1	650001	700000	0.0018903028949914	5972	508	268740	0
HMA	chr1	700001	750000	0.0015373189086646	12417	859	558765	0
HMA	chr1	750001	800000	0.0018212708120965	16350	1340	735750	0
HMA	chr1	800001	850000	0.0020712540568136	6094	568	274230	0
HMA	chr1	850001	900000	0.0022359034496237	5685	572	255825	0
HMA	chr1	900001	950000	0.004826989225267	29266	6357	1316970	0
HMA	chr1	950001	1000000	0.005053915176631	37322	8488	1679490	0
HMA	chr1	1000001	1050000	0.0053487546933998	20981	5050	944145	0
HMA	chr1	1050001	1100000	0.0043708581970338	21562	4241	970290	0
HMA	chr1	1100001	1150000	0.0036712541436815	17463	2885	785835	0
HMA	chr1	1150001	1200000	0.0045265675310967	24949	5082	1122705	0
HMA	chr1	1200001	1250000	0.0061249863237151	11171	3079	502695	0
HMA	chr1	1250001	1300000	0.0050385903596912	8393	1903	377685	0
HMA	chr1	1300001	1350000	0.0022723189278882	10513	1075	473085	0
HMA	chr1	1350001	1400000	0.0042496555179756	14192	2714	638640	0
HMA	chr1	1400001	1450000	0.0055537022622533	17986	4495	809370	0
HMA	chr1	1450001	1500000	0.0048973868302994	21077	4645	948465	0
HMA	chr1	1500001	1550000	0.0046010768477728	3405	705	153225	0
HMA	chr1	1550001	1600000	0.0033001751751751	7104	1055	319680	0
HMA	chr1	1600001	1650000	0.0052512760109933	6792	1605	305640	0
HMA	chr1	1650001	1700000	0.0040256290045319	3555	644	159975	0
HMA	chr1	1700001	1750000	0.0073776886214198	997	331	44865	0
HMA	chr1	1750001	1800000	0.0057572783774942	1019	264	45855	0
HMA	chr1	1800001	1850000	0.00670239371204	3110	938	139950	0
HMA	chr1	1850001	1900000	0.004677657150516	9948	2094	447660	0
HMA	chr1	1900001	1950000	0.005705528511252	13558	3481	610110	0
HMA	chr1	1950001	2000000	0.0022373122322614	17819	1794	801855	0
