CHROM	BIN_START	N_SNPS	TajimaD
chr1	0	32	-1.9582
chr1	50000	34	-1.3639
chr1	100000	37	-1.55934
chr1	150000	16	-1.60987
chr1	200000	43	-1.39433
chr1	250000	24	-1.65206
chr1	300000	43	-0.426811
chr1	350000	143	-0.946403
chr1	400000	52	-0.444533
chr1	450000	55	-0.430518
chr1	500000	25	-1.1453
chr1	550000	70	-0.329461
chr1	600000	0	nan
chr1	650000	44	-0.67418
chr1	700000	63	-0.265481
chr1	750000	97	0.0578864
chr1	800000	41	-0.470691
chr1	850000	46	-0.704455
chr1	900000	365	0.896564
chr1	950000	542	0.290926
chr1	1000000	307	0.628445
chr1	1050000	258	0.448135
chr1	1100000	163	0.851453
chr1	1150000	285	0.70644
chr1	1200000	190	0.813061
chr1	1250000	121	0.40066
chr1	1300000	73	-0.0263228
chr1	1350000	164	0.424459
chr1	1400000	259	0.88684
chr1	1450000	272	0.963915
chr1	1500000	40	0.951645
chr1	1550000	66	0.258421
chr1	1600000	99	0.582667
chr1	1650000	35	0.922202
chr1	1700000	20	0.500361
chr1	1750000	14	1.36361
chr1	1800000	57	0.596579
chr1	1850000	129	0.317334
chr1	1900000	212	0.893612
chr1	1950000	159	0.330439
chr1	2000000	145	-0.488644
chr1	2050000	109	-0.588903
chr1	2100000	167	-0.319687
chr1	2150000	140	-0.775007
chr1	2200000	139	-0.105852
chr1	2250000	162	-0.0597508
chr1	2300000	126	0.0390112
chr1	2350000	138	-0.297145
chr1	2400000	174	-0.0788611
chr1	2450000	152	-0.164394
chr1	2500000	119	0.433059
chr1	2550000	152	0.0559166
chr1	2600000	125	0.308953
chr1	2650000	131	0.160311
chr1	2700000	160	-0.385707
chr1	2750000	124	-0.0414337
chr1	2800000	139	0.110111
chr1	2850000	248	-0.16325
chr1	2900000	135	-0.593774
chr1	2950000	172	-0.0327505
chr1	3000000	171	-0.302427
chr1	3050000	161	-0.21978
chr1	3100000	103	-0.176696
chr1	3150000	113	-0.0372027
chr1	3200000	234	1.43544
chr1	3250000	94	1.18772
chr1	3300000	48	0.597634
chr1	3350000	0	nan
chr1	3400000	195	1.19678
chr1	3450000	85	0.376214
chr1	3500000	42	-0.997743
chr1	3550000	18	-1.14664
chr1	3600000	24	-0.345489
chr1	3650000	3	-0.506695
chr1	3700000	0	nan
chr1	3750000	40	1.16528
chr1	3800000	3	1.60435
chr1	3850000	0	nan
chr1	3900000	15	1.72573
chr1	3950000	0	nan
chr1	4000000	44	0.74512
chr1	4050000	46	0.728237
chr1	4100000	43	0.917757
chr1	4150000	17	-0.694978
chr1	4200000	77	-1.84034
chr1	4250000	190	-1.97087
chr1	4300000	204	0.678152
chr1	4350000	425	1.33384
chr1	4400000	194	0.698418
chr1	4450000	158	0.0370859
chr1	4500000	84	-0.744013
chr1	4550000	140	1.42072
chr1	4600000	182	0.950574
chr1	4650000	16	-1.17334
chr1	4700000	32	-0.804202
chr1	4750000	128	0.0242179
chr1	4800000	156	0.0953765
chr1	4850000	140	0.59202
chr1	4900000	256	-0.314334
chr1	4950000	102	0.0106919
chr1	5000000	175	-0.194632
chr1	5050000	196	-0.686022
chr1	5100000	167	0.010418
chr1	5150000	217	0.4631
chr1	5200000	269	0.105195
chr1	5250000	202	0.467127
chr1	5300000	296	0.456239
chr1	5350000	169	0.136685
chr1	5400000	258	0.0109958
chr1	5450000	183	0.0120667
chr1	5500000	248	0.174899
chr1	5550000	200	0.270732
chr1	5600000	198	0.26048
chr1	5650000	182	0.151471
