chrom	length	bases	mean	min	max
chr1	434526931	6969644098	16.04	0	1353
chr2	381225800	5594681680	14.68	0	4163
chr3	268276564	4130098399	15.39	0	1288
chr4	218045602	3418214234	15.68	0	1468
chr5	142905876	2200611947	15.40	0	1730
chr6	106938139	1559897253	14.59	0	1262
chr7	42362139	480925194	11.35	0	876
chr8	34083018	389772372	11.44	0	829
chr9	30848814	475014454	15.40	0	820
chr10	28798323	366518550	12.73	0	1150
chr11	28504944	404177066	14.18	0	1526
chr12	23795472	241782289	10.16	0	960
chr13	19560250	310177393	15.86	0	304
chr14	16934482	168218153	9.93	0	854
chr15	16659334	146853896	8.82	0	1087
chrZ	171188827	2631251863	15.37	0	4775
scaffold_17	8602431	6439232	0.75	0	578
scaffold_18	5896640	566668	0.10	0	253
scaffold_19	3578573	1309701	0.37	0	614
scaffold_20	3463715	1202195	0.35	0	276
scaffold_21	2653684	3275157	1.23	0	377
scaffold_22	2594236	2643567	1.02	0	260
scaffold_23	2401630	291831	0.12	0	86
scaffold_24	2227603	1287042	0.58	0	47
scaffold_25	2202738	688350	0.31	0	251
scaffold_26	2177833	399180	0.18	0	272
scaffold_27	2141302	931832	0.44	0	816
scaffold_28	2117275	8825391	4.17	0	531
scaffold_29	1993315	6053604	3.04	0	3575
scaffold_30	1963441	1352039	0.69	0	1383
scaffold_31	1903766	1737238	0.91	0	2021
scaffold_32	1891392	1740998	0.92	0	689
scaffold_33	1859776	556380	0.30	0	112
scaffold_35	1751308	17440857	9.96	0	89
scaffold_36	1660000	3270548	1.97	0	2915
scaffold_37	1534483	4503570	2.93	0	421
scaffold_38	1527826	9385801	6.14	0	451
scaffold_39	1505925	1185422	0.79	0	75
scaffold_40	1478730	81854	0.06	0	48
scaffold_41	1436034	1727630	1.20	0	272
scaffold_42	1377455	18244125	13.24	0	74
scaffold_43	1343551	551753	0.41	0	50
scaffold_44	1304300	6462617	4.95	0	316
scaffold_45	1257125	1768138	1.41	0	1055
scaffold_46	1222163	187638	0.15	0	63
scaffold_47	1141902	983457	0.86	0	229
scaffold_48	1095069	297696	0.27	0	947
scaffold_49	1086189	516694	0.48	0	178
scaffold_50	1081135	2765317	2.56	0	250
scaffold_51	998428	244659	0.25	0	73
scaffold_52	990424	8596139	8.68	0	292
scaffold_53	984522	518507	0.53	0	1168
scaffold_54	970918	63075	0.06	0	38
scaffold_55	940026	6083083	6.47	0	382
scaffold_56	934443	248740	0.27	0	91
scaffold_57	930907	358425	0.39	0	109
scaffold_58	922701	8347804	9.05	0	249
scaffold_59	917863	141953	0.15	0	33
scaffold_60	912060	564793	0.62	0	130
scaffold_61	904647	1973512	2.18	0	221
scaffold_62	884248	475764	0.54	0	41
