chrom	length	bases	mean	min	max
chr1	434526931	8128894278	18.71	0	1015
chr2	381225800	6760590952	17.73	0	4365
chr3	268276564	4827888783	18.00	0	2379
chr4	218045602	4016659750	18.42	0	2460
chr5	142905876	2576235718	18.03	0	1312
chr6	106938139	1841464128	17.22	0	2524
chr7	42362139	563453488	13.30	0	984
chr8	34083018	456834460	13.40	0	344
chr9	30848814	559595102	18.14	0	1661
chr10	28798323	427478627	14.84	0	246
chr11	28504944	475643189	16.69	0	699
chr12	23795472	296668170	12.47	0	2370
chr13	19560250	363639791	18.59	0	113
chr14	16934482	197849344	11.68	0	333
chr15	16659334	211284486	12.68	0	764
chrZ	171188827	3045879048	17.79	0	1473
scaffold_17	8602431	9989121	1.16	0	760
scaffold_18	5896640	692913	0.12	0	158
scaffold_19	3578573	7355428	2.06	0	569
scaffold_20	3463715	1208073	0.35	0	261
scaffold_21	2653684	3021581	1.14	0	305
scaffold_22	2594236	1444925	0.56	0	207
scaffold_23	2401630	674120	0.28	0	224
scaffold_24	2227603	1464881	0.66	0	89
scaffold_25	2202738	1214227	0.55	0	198
scaffold_26	2177833	766328	0.35	0	903
scaffold_27	2141302	513382	0.24	0	329
scaffold_28	2117275	4915301	2.32	0	224
scaffold_29	1993315	1506207	0.76	0	1022
scaffold_30	1963441	1081040	0.55	0	270
scaffold_31	1903766	2476573	1.30	0	407
scaffold_32	1891392	2592484	1.37	0	328
scaffold_33	1859776	496681	0.27	0	105
scaffold_34	1787999	70	0.00	0	1
scaffold_35	1751308	22388167	12.78	0	411
scaffold_36	1660000	2072082	1.25	0	224
scaffold_37	1534483	3375101	2.20	0	383
scaffold_38	1527826	3740977	2.45	0	150
scaffold_39	1505925	1451531	0.96	0	52
scaffold_40	1478730	68440	0.05	0	62
scaffold_41	1436034	1092182	0.76	0	107
scaffold_42	1377455	23047626	16.73	0	142
scaffold_43	1343551	652744	0.49	0	61
scaffold_44	1304300	5971152	4.58	0	215
scaffold_45	1257125	1213255	0.97	0	400
scaffold_46	1222163	1622032	1.33	0	421
scaffold_47	1141902	418496	0.37	0	73
scaffold_48	1095069	63158	0.06	0	36
scaffold_49	1086189	580695	0.53	0	77
scaffold_50	1081135	1242767	1.15	0	124
scaffold_51	998428	369104	0.37	0	76
scaffold_52	990424	9475110	9.57	0	109
scaffold_53	984522	277125	0.28	0	248
