CHROM	BIN_START	N_SNPS	TajimaD
chr1	0	31	-1.95136
chr1	50000	36	-1.40758
chr1	100000	37	-1.65806
chr1	150000	12	-1.96119
chr1	200000	41	-1.25293
chr1	250000	24	-1.73916
chr1	300000	36	-0.444683
chr1	350000	135	-0.992054
chr1	400000	48	-0.393406
chr1	450000	50	-0.653472
chr1	500000	26	-1.18309
chr1	550000	53	-0.360341
chr1	600000	0	nan
chr1	650000	38	-0.773369
chr1	700000	58	-0.338162
chr1	750000	84	0.0141417
chr1	800000	40	-0.520927
chr1	850000	43	-0.796745
chr1	900000	341	0.860478
chr1	950000	504	0.294337
chr1	1000000	288	0.511694
chr1	1050000	254	0.248159
chr1	1100000	158	0.73655
chr1	1150000	285	0.604975
chr1	1200000	174	0.560405
chr1	1250000	109	0.483923
chr1	1300000	69	-0.101271
chr1	1350000	160	0.330531
chr1	1400000	240	0.886281
chr1	1450000	247	0.910456
chr1	1500000	39	0.661731
chr1	1550000	65	0.100146
chr1	1600000	94	0.363363
chr1	1650000	36	0.602684
chr1	1700000	19	0.446016
chr1	1750000	13	1.25894
chr1	1800000	53	0.551201
chr1	1850000	125	0.263975
chr1	1900000	189	0.787317
chr1	1950000	113	-0.00959422
chr1	2000000	128	-0.368756
chr1	2050000	103	-0.597209
chr1	2100000	142	-0.263809
chr1	2150000	124	-0.912898
chr1	2200000	137	-0.185399
chr1	2250000	144	-0.0816503
chr1	2300000	91	-0.28208
chr1	2350000	113	-0.357461
chr1	2400000	129	-0.164667
chr1	2450000	130	-0.319429
chr1	2500000	106	0.455446
chr1	2550000	137	0.152355
chr1	2600000	106	0.384868
chr1	2650000	109	0.000435812
chr1	2700000	145	-0.413135
chr1	2750000	116	0.020996
chr1	2800000	118	0.227466
chr1	2850000	212	-0.0832625
chr1	2900000	124	-0.655992
chr1	2950000	138	-0.122683
chr1	3000000	149	-0.302663
chr1	3050000	58	0.411562
chr1	3100000	94	-0.259042
chr1	3150000	107	0.0261239
chr1	3200000	206	1.3694
chr1	3250000	63	1.06849
chr1	3300000	43	0.675877
chr1	3350000	0	nan
chr1	3400000	170	1.18644
chr1	3450000	82	0.362179
chr1	3500000	42	-0.89585
chr1	3550000	16	-1.31885
chr1	3600000	25	-0.41506
chr1	3650000	3	-0.506695
chr1	3700000	0	nan
chr1	3750000	39	1.1856
chr1	3800000	3	1.60435
chr1	3850000	0	nan
chr1	3900000	14	1.69266
chr1	3950000	0	nan
chr1	4000000	42	0.683502
chr1	4050000	45	0.688845
chr1	4100000	38	0.774
chr1	4150000	16	-0.609496
chr1	4200000	70	-1.8069
chr1	4250000	139	-1.94154
chr1	4300000	191	0.646465
chr1	4350000	393	1.29551
chr1	4400000	165	0.739074
chr1	4450000	139	-0.0383636
chr1	4500000	67	-0.580695
chr1	4550000	133	0.994975
chr1	4600000	159	0.881796
chr1	4650000	16	-1.44617
chr1	4700000	26	-0.675614
chr1	4750000	99	-0.19749
chr1	4800000	131	0.105444
chr1	4850000	111	0.489886
chr1	4900000	224	-0.354725
chr1	4950000	84	-0.207757
chr1	5000000	141	-0.150531
chr1	5050000	167	-0.822346
chr1	5100000	137	-0.0416252
chr1	5150000	175	0.428476
chr1	5200000	246	0.0841517
chr1	5250000	171	0.335137
chr1	5300000	272	0.498325
chr1	5350000	159	0.129587
chr1	5400000	234	0.00106662
chr1	5450000	151	-0.238203
chr1	5500000	201	0.152499
chr1	5550000	42	-0.189872
chr1	5600000	180	0.227687
chr1	5650000	149	-0.130459
chr1	5700000	224	-0.060448
chr1	5750000	162	-0.177663
chr1	5800000	152	-0.345585
chr1	5850000	189	0.334439
chr1	5900000	149	0.188748
chr1	5950000	174	-0.0662559
chr1	6000000	175	0.0667865
chr1	6050000	112	-0.569761
chr1	6100000	133	-0.0719399
chr1	6150000	231	0.147485
chr1	6200000	183	0.346076
chr1	6250000	141	0.286419
chr1	6300000	172	-0.0363935
chr1	6350000	120	-0.173851
chr1	6400000	128	-0.507883
chr1	6450000	95	-0.301918
chr1	6500000	166	-0.370829
chr1	6550000	148	-0.307
chr1	6600000	200	-0.0476321
chr1	6650000	180	-0.359094
chr1	6700000	147	-0.447609
chr1	6750000	180	-0.0961741
chr1	6800000	175	-0.332504
chr1	6850000	171	-0.339069
chr1	6900000	124	-0.645917
chr1	6950000	142	-0.147073
chr1	7000000	138	0.0245911
chr1	7050000	121	-0.0741351
chr1	7100000	107	0.707918
chr1	7150000	89	0.612421
chr1	7200000	145	0.0485536
chr1	7250000	113	-0.067572
chr1	7300000	46	-0.591172
chr1	7350000	280	-0.0201153
chr1	7400000	236	0.25809
chr1	7450000	187	-0.198804
chr1	7500000	185	-0.953606
chr1	7550000	200	-0.173096
chr1	7600000	108	-0.539701
chr1	7650000	195	0.172341
chr1	7700000	195	-0.0479853
chr1	7750000	168	-0.269148
chr1	7800000	255	-0.265166
chr1	7850000	134	-0.0758567
chr1	7900000	131	-0.190362
chr1	7950000	132	-0.257376
chr1	8000000	146	0.0655662
chr1	8050000	181	-0.197653
chr1	8100000	174	0.18765
chr1	8150000	144	-0.00562124
chr1	8200000	146	-0.0694294
chr1	8250000	167	-0.167764
chr1	8300000	135	0.103215
chr1	8350000	89	-0.544016
chr1	8400000	171	-0.511284
chr1	8450000	134	-0.297461
chr1	8500000	160	0.170062
chr1	8550000	124	-0.190036
chr1	8600000	145	-0.4757
chr1	8650000	133	-0.316343
chr1	8700000	142	-0.332088
chr1	8750000	186	0.0747061
chr1	8800000	107	-0.349737
chr1	8850000	99	0.510314
chr1	8900000	196	-0.0539935
chr1	8950000	234	-0.10091
chr1	9000000	177	-0.617033
chr1	9050000	171	-0.135708
chr1	9100000	193	-0.489092
chr1	9150000	181	-0.182068
chr1	9200000	157	-0.232055
chr1	9250000	216	-0.164004
chr1	9300000	154	0.0169584
chr1	9350000	188	0.217646
chr1	9400000	189	-0.47676
chr1	9450000	210	-0.353269
chr1	9500000	103	0.33155
chr1	9550000	144	0.0964749
chr1	9600000	127	-0.0323989
chr1	9650000	113	-0.349178
chr1	9700000	172	-0.229474
chr1	9750000	160	-0.418975
chr1	9800000	129	-0.578849
chr1	9850000	212	-0.715271
chr1	9900000	127	-0.135712
chr1	9950000	152	-0.170571
chr1	10000000	106	-0.338563
chr1	10050000	112	-0.285672
chr1	10100000	92	-0.870516
chr1	10150000	68	-0.0712973
chr1	10200000	124	0.0316081
chr1	10250000	98	0.0448902
chr1	10300000	91	0.0494804
chr1	10350000	112	-0.363657
chr1	10400000	88	-0.370255
chr1	10450000	106	-0.312096
chr1	10500000	133	-0.360994
chr1	10550000	89	-0.39029
chr1	10600000	107	-0.597397
chr1	10650000	127	-0.578483
chr1	10700000	91	-0.309425
chr1	10750000	117	-0.87524
chr1	10800000	99	-1.45581
chr1	10850000	161	-0.278127
chr1	10900000	200	-0.182505
chr1	10950000	186	-0.269125
chr1	11000000	130	-0.759303
chr1	11050000	109	-0.703338
chr1	11100000	124	0.439635
chr1	11150000	115	-0.426789
chr1	11200000	176	-0.337586
chr1	11250000	141	-0.469925
chr1	11300000	199	-0.219814
chr1	11350000	212	-0.481413
chr1	11400000	169	-0.0190163
chr1	11450000	182	-0.320413
chr1	11500000	105	-0.594336
chr1	11550000	103	-0.681917
chr1	11600000	185	-0.00130301
chr1	11650000	172	-0.535489
chr1	11700000	124	-0.16233
chr1	11750000	157	-0.146313
chr1	11800000	159	-0.341035
chr1	11850000	201	-0.154929
chr1	11900000	110	-0.260141
chr1	11950000	113	-0.77987
chr1	12000000	187	-0.649783
chr1	12050000	159	-0.177597
chr1	12100000	217	-0.196381
chr1	12150000	183	-0.506932
chr1	12200000	167	-0.224031
chr1	12250000	136	-0.600733
chr1	12300000	168	-0.632731
chr1	12350000	122	0.0725955
chr1	12400000	137	-0.0827033
chr1	12450000	141	-1.03552
chr1	12500000	184	-0.320047
chr1	12550000	111	-0.628481
chr1	12600000	180	0.140628
chr1	12650000	200	-0.571443
chr1	12700000	170	0.0568198
chr1	12750000	129	0.0605895
chr1	12800000	146	0.0141393
chr1	12850000	178	-0.403919
chr1	12900000	175	-0.25193
chr1	12950000	182	-0.470245
chr1	13000000	137	-0.32689
chr1	13050000	135	-0.142237
chr1	13100000	48	-1.03279
chr1	13150000	94	-0.0306063
chr1	13200000	197	-0.0774532
chr1	13250000	116	0.166272
chr1	13300000	186	-0.403961
chr1	13350000	124	0.250733
chr1	13400000	191	0.00458
chr1	13450000	202	-0.48168
chr1	13500000	123	-0.212111
chr1	13550000	157	-0.257977
chr1	13600000	129	-0.382657
chr1	13650000	176	0.734244
chr1	13700000	108	-0.274096
chr1	13750000	120	-0.434018
chr1	13800000	82	-0.626228
chr1	13850000	202	-0.112095
chr1	13900000	177	-0.316054
chr1	13950000	76	-0.697456
chr1	14000000	157	-0.746505
chr1	14050000	153	-0.142683
chr1	14100000	205	-0.0136292
chr1	14150000	155	-0.508029
chr1	14200000	138	0.273823
chr1	14250000	106	0.381927
chr1	14300000	106	-0.21211
chr1	14350000	72	-0.521921
chr1	14400000	169	-0.0857453
chr1	14450000	193	-0.321742
chr1	14500000	147	-0.483791
chr1	14550000	71	-0.808728
chr1	14600000	106	-0.903192
chr1	14650000	134	-0.635699
chr1	14700000	185	-0.0538322
chr1	14750000	82	-0.558062
chr1	14800000	106	-0.203287
chr1	14850000	105	-0.54981
chr1	14900000	121	-1.05469
chr1	14950000	102	-0.862904
chr1	15000000	115	0.126747
chr1	15050000	82	-0.701968
chr1	15100000	94	-0.490788
chr1	15150000	153	-0.0935873
chr1	15200000	110	-0.679749
chr1	15250000	182	-0.0965268
chr1	15300000	196	-0.42521
chr1	15350000	218	-0.597012
chr1	15400000	96	0.178158
chr1	15450000	70	-0.236568
chr1	15500000	136	-0.350172
chr1	15550000	159	0.0764208
chr1	15600000	164	0.458832
chr1	15650000	195	-0.448432
chr1	15700000	201	0.196194
chr1	15750000	90	-0.402976
chr1	15800000	158	-0.327507
chr1	15850000	110	-0.716607
chr1	15900000	83	-0.981446
chr1	15950000	145	-0.477857
chr1	16000000	101	-0.0604312
chr1	16050000	199	0.697489
chr1	16100000	146	-0.118714
chr1	16150000	143	0.221615
chr1	16200000	157	0.262456
chr1	16250000	161	-1.32059
chr1	16300000	162	-0.316838
chr1	16350000	106	-0.762035
chr1	16400000	95	-0.652485
chr1	16450000	159	-0.354819
chr1	16500000	136	-0.504186
chr1	16550000	120	0.0785101
chr1	16600000	137	-0.306351
chr1	16650000	116	-0.691934
chr1	16700000	156	-0.588895
chr1	16750000	163	-0.295519
chr1	16800000	134	-0.241477
chr1	16850000	113	-0.379547
chr1	16900000	98	-0.708164
chr1	16950000	131	-0.483782
chr1	17000000	120	0.0759084
chr1	17050000	106	-0.55324
chr1	17100000	94	-0.576866
chr1	17150000	94	-0.0570916
chr1	17200000	153	0.0352885
chr1	17250000	153	-0.613182
chr1	17300000	113	-0.553481
chr1	17350000	145	-0.661238
chr1	17400000	193	-1.31447
chr1	17450000	145	-0.389403
chr1	17500000	265	-0.267151
chr1	17550000	213	0.0675304
chr1	17600000	165	-0.282123
chr1	17650000	161	0.404528
chr1	17700000	69	-0.500553
chr1	17750000	108	0.15607
chr1	17800000	130	0.259858
chr1	17850000	110	-0.0673486
chr1	17900000	118	-0.328035
chr1	17950000	109	-0.354312
chr1	18000000	122	-0.633827
chr1	18050000	168	-0.453736
chr1	18100000	82	-0.698181
chr1	18150000	135	-0.406213
chr1	18200000	158	-0.551415
chr1	18250000	80	-1.30582
chr1	18300000	109	-0.437277
chr1	18350000	238	0.25618
chr1	18400000	183	-0.279121
chr1	18450000	160	-0.258506
chr1	18500000	132	-0.247906
chr1	18550000	290	0.0650487
chr1	18600000	190	-0.304142
chr1	18650000	92	-1.68547
chr1	18700000	66	-0.125832
chr1	18750000	180	-0.0648327
chr1	18800000	141	-0.74496
chr1	18850000	137	-0.226477
chr1	18900000	130	0.1565
chr1	18950000	84	-0.163377
chr1	19000000	61	0.595649
chr1	19050000	72	-0.298168
chr1	19100000	101	-0.260915
chr1	19150000	150	-0.830359
chr1	19200000	86	-0.108374
chr1	19250000	92	0.127041
chr1	19300000	111	-0.937577
chr1	19350000	109	-0.531686
chr1	19400000	94	0.00912162
chr1	19450000	97	0.13492
chr1	19500000	161	-0.515403
chr1	19550000	129	-0.268818
chr1	19600000	158	-0.488008
chr1	19650000	165	-0.445363
chr1	19700000	132	-0.827979
chr1	19750000	122	0.0674765
chr1	19800000	99	-0.502633
chr1	19850000	143	-0.298962
chr1	19900000	120	-0.00214147
chr1	19950000	102	0.0381827
chr1	20000000	167	0.0835662
chr1	20050000	102	0.0412372
chr1	20100000	165	0.169633
chr1	20150000	96	-0.74925
chr1	20200000	118	-0.857082
chr1	20250000	168	-0.164735
chr1	20300000	126	0.00926141
chr1	20350000	129	-0.782306
chr1	20400000	297	-0.0776292
chr1	20450000	92	-0.167154
chr1	20500000	226	-0.77499
chr1	20550000	129	-0.564316
chr1	20600000	94	-0.79868
chr1	20650000	119	0.0316989
chr1	20700000	140	-0.587375
chr1	20750000	79	0.00533509
chr1	20800000	88	-0.0417004
chr1	20850000	199	-0.599659
chr1	20900000	136	0.0245208
chr1	20950000	180	-0.211093
chr1	21000000	149	-0.617671
chr1	21050000	118	-0.383585
chr1	21100000	106	-0.644404
chr1	21150000	126	-1.24023
chr1	21200000	137	-0.708004
chr1	21250000	139	-0.578271
chr1	21300000	100	-0.569026
chr1	21350000	88	-1.02383
chr1	21400000	67	-0.668427
chr1	21450000	79	-0.198937
chr1	21500000	105	-0.202506
chr1	21550000	228	0.107722
chr1	21600000	136	-0.414536
chr1	21650000	178	-0.599345
chr1	21700000	107	0.160152
chr1	21750000	74	-0.360688
chr1	21800000	56	-1.13233
chr1	21850000	155	-0.611023
chr1	21900000	171	-0.665179
chr1	21950000	243	0.791759
chr1	22000000	87	-0.381922
chr1	22050000	73	-0.951756
chr1	22100000	70	-1.51053
chr1	22150000	104	-0.249655
chr1	22200000	117	-0.0963064
chr1	22250000	180	-0.785686
chr1	22300000	99	-1.14123
chr1	22350000	86	-0.95759
chr1	22400000	81	-0.841164
chr1	22450000	66	-0.524143
chr1	22500000	148	0.0756528
chr1	22550000	182	-0.468523
chr1	22600000	123	-0.458387
chr1	22650000	74	0.55666
chr1	22700000	99	-0.188053
chr1	22750000	103	-0.191822
chr1	22800000	90	-0.503187
chr1	22850000	119	-0.828734
chr1	22900000	125	-1.6026
chr1	22950000	180	-0.0230441
chr1	23000000	141	0.120068
chr1	23050000	158	-0.3176
chr1	23100000	163	-0.522224
chr1	23150000	124	-0.164849
chr1	23200000	139	-0.670505
chr1	23250000	158	0.0846416
chr1	23300000	149	-0.15356
chr1	23350000	233	-0.164799
chr1	23400000	63	-0.515602
chr1	23450000	57	-0.236292
chr1	23500000	132	0.164065
chr1	23550000	111	-1.00221
chr1	23600000	184	0.000234909
chr1	23650000	174	-0.793758
chr1	23700000	101	-1.25716
chr1	23750000	137	-1.15758
chr1	23800000	150	-0.463192
chr1	23850000	215	-1.18515
chr1	23900000	116	0.306168
chr1	23950000	163	-0.514539
chr1	24000000	143	0.0706916
chr1	24050000	138	0.0585773
chr1	24100000	137	-0.148885
chr1	24150000	125	-0.458166
chr1	24200000	106	-0.732627
chr1	24250000	165	-1.43239
chr1	24300000	129	-0.632135
chr1	24350000	155	-1.03714
chr1	24400000	80	-1.11958
chr1	24450000	95	-0.754051
chr1	24500000	139	-0.834726
chr1	24550000	70	-0.373696
chr1	24600000	110	-0.600364
chr1	24650000	147	-0.307138
chr1	24700000	117	-0.683174
chr1	24750000	122	-0.255021
chr1	24800000	102	-0.478033
chr1	24850000	92	-0.522217
chr1	24900000	178	0.592581
chr1	24950000	116	-0.449807
chr1	25000000	186	-0.643295
chr1	25050000	128	-0.571345
chr1	25100000	206	-0.104797
chr1	25150000	160	-0.904294
chr1	25200000	101	-0.90863
chr1	25250000	115	-0.733405
chr1	25300000	57	-0.133535
chr1	25350000	95	-1.04892
chr1	25400000	109	-0.880712
chr1	25450000	98	-0.765358
chr1	25500000	45	-0.679433
chr1	25550000	130	-0.860258
chr1	25600000	96	-0.233663
chr1	25650000	142	-0.750573
chr1	25700000	133	-0.8122
chr1	25750000	109	-0.54599
chr1	25800000	118	-0.494685
chr1	25850000	195	-0.713788
chr1	25900000	129	-0.876769
chr1	25950000	127	-0.192288
chr1	26000000	223	-0.122781
chr1	26050000	166	-1.05951
chr1	26100000	104	-0.759072
chr1	26150000	94	-0.970835
chr1	26200000	107	-0.824661
chr1	26250000	87	-0.246155
chr1	26300000	106	0.299585
chr1	26350000	94	-0.361673
chr1	26400000	110	-0.356538
chr1	26450000	72	-0.483194
chr1	26500000	138	-0.525986
chr1	26550000	149	0.501655
chr1	26600000	119	-0.482462
chr1	26650000	128	-0.844718
chr1	26700000	158	0.191642
chr1	26750000	220	-0.521448
chr1	26800000	125	-0.53063
chr1	26850000	108	-0.0951007
chr1	26900000	145	-0.857564
chr1	26950000	160	-0.645979
chr1	27000000	112	-0.344161
chr1	27050000	163	0.292376
chr1	27100000	129	-0.353592
chr1	27150000	84	-0.94742
chr1	27200000	86	-0.95759
chr1	27250000	115	0.680282
chr1	27300000	136	0.0475081
chr1	27350000	128	0.11941
chr1	27400000	124	-0.472128
chr1	27450000	92	-0.126575
chr1	27500000	182	-0.468523
chr1	27550000	208	-0.47307
chr1	27600000	139	-0.542277
chr1	27650000	104	-0.417463
chr1	27700000	108	-0.0748915
chr1	27750000	130	-0.384329
chr1	27800000	160	-0.417018
chr1	27850000	82	-0.42173
chr1	27900000	150	-0.0855936
chr1	27950000	82	-0.895105
chr1	28000000	216	-0.367407
chr1	28050000	183	-0.12325
chr1	28100000	142	-0.235175
chr1	28150000	128	-0.678741
chr1	28200000	76	-0.534233
chr1	28250000	110	-0.265812
chr1	28300000	26	-0.456477
chr1	28350000	141	-0.758268
chr1	28400000	223	0.423353
chr1	28450000	150	-0.834532
chr1	28500000	113	-0.371265
chr1	28550000	98	-1.05768
chr1	28600000	89	-0.652323
chr1	28650000	152	-0.990046
