pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
HEL	HMA	chr1	1	50000	0.0033313503866745	16810	5600	1681000	0
HEL	HMA	chr1	50001	100000	0.0030547721537776	13474	4116	1347400	0
HEL	HMA	chr1	100001	150000	0.0052483861914117	14252	7480	1425200	0
HEL	HMA	chr1	150001	200000	0.0045109267266565	8557	3860	855700	0
HEL	HMA	chr1	200001	250000	0.004951953076251	16026	7936	1602600	0
HEL	HMA	chr1	250001	300000	0.0050243466163172	10063	5056	1006300	0
HEL	HMA	chr1	300001	350000	0.0052751984928004	7431	3920	743100	0
HEL	HMA	chr1	350001	400000	0.0080223648788569	14487	11622	1448700	0
HEL	HMA	chr1	400001	450000	0.0056960773541369	9101	5184	910100	0
HEL	HMA	chr1	450001	500000	0.0045520673813169	10448	4756	1044800	0
HEL	HMA	chr1	500001	550000	0.0053090623363017	7636	4054	763600	0
HEL	HMA	chr1	550001	600000	0.0066227244193345	9558	6330	955800	0
HEL	HMA	chr1	600001	650000	0.0102189781021897	137	140	13700	0
HEL	HMA	chr1	650001	700000	0.0073176675369886	5745	4204	574500	0
HEL	HMA	chr1	700001	750000	0.0051293029628361	11678	5990	1167800	0
HEL	HMA	chr1	750001	800000	0.00629445766746	14705	9256	1470500	0
HEL	HMA	chr1	800001	850000	0.0089668318719024	5246	4704	524600	0
HEL	HMA	chr1	850001	900000	0.0082853146853146	3575	2962	357500	0
HEL	HMA	chr1	900001	950000	0.0122231614539306	27209	33258	2720900	0
HEL	HMA	chr1	950001	1000000	0.0110582518786372	35398	39144	3539800	0
HEL	HMA	chr1	1000001	1050000	0.0095011698642957	10685	10152	1068500	0
HEL	HMA	chr1	1050001	1100000	0.0083347513342099	12929	10776	1292900	0
HEL	HMA	chr1	1100001	1150000	0.0101050344078232	8283	8370	828300	0
HEL	HMA	chr1	1150001	1200000	0.0099220025394522	5513	5470	551300	0
HEL	HMA	chr1	1200001	1250000	0.0102321106434155	8315	8508	831500	0
HEL	HMA	chr1	1250001	1300000	0.0116418359668924	6645	7736	664500	0
HEL	HMA	chr1	1300001	1350000	0.0113998357963875	9744	11108	974400	0
HEL	HMA	chr1	1350001	1400000	0.0120122476318055	10451	12554	1045100	0
HEL	HMA	chr1	1400001	1450000	0.0085576046560549	14261	12204	1426100	0
HEL	HMA	chr1	1450001	1500000	0.0100288350634371	17340	17390	1734000	0
HEL	HMA	chr1	1500001	1550000	0.0113043478260869	2645	2990	264500	0
HEL	HMA	chr1	1550001	1600000	0.0077881116053376	4946	3852	494600	0
HEL	HMA	chr1	1600001	1650000	0.0108170865279299	4565	4938	456500	0
HEL	HMA	chr1	1650001	1700000	0.0061615862681266	3379	2082	337900	0
HEL	HMA	chr1	1700001	1750000	0.0099586776859504	968	964	96800	0
HEL	HMA	chr1	1750001	1800000	0.0076923076923076	975	750	97500	0
HEL	HMA	chr1	1800001	1850000	0.0119546027742749	2379	2844	237900	0
HEL	HMA	chr1	1850001	1900000	0.0109719042663891	4805	5272	480500	0
HEL	HMA	chr1	1900001	1950000	0.0094161958568738	6903	6500	690300	0
HEL	HMA	chr1	1950001	2000000	0.0064626108998732	15780	10198	1578000	0
HEL	HMA	chr1	2000001	2050000	0.0101946671028954	18339	18696	1833900	0
HEL	HMA	chr1	2050001	2100000	0.0069745579347907	13403	9348	1340300	0
HEL	HMA	chr1	2100001	2150000	0.0072417190001231	16242	11762	1624200	0
HEL	HMA	chr1	2150001	2200000	0.0072758299720757	12892	9380	1289200	0
HEL	HMA	chr1	2200001	2250000	0.0101013725666098	11147	11260	1114700	0
HEL	HMA	chr1	2250001	2300000	0.0070194511755845	15269	10718	1526900	0
HEL	HMA	chr1	2300001	2350000	0.0068636682360012	9983	6852	998300	0
HEL	HMA	chr1	2350001	2400000	0.0060549548655887	10081	6104	1008100	0
