CHROM	BIN_START	N_SNPS	TajimaD
chr1	0	111	-0.361534
chr1	50000	124	-0.310933
chr1	100000	118	-0.103189
chr1	150000	126	-0.665066
chr1	200000	166	-0.0161107
chr1	250000	138	-0.820533
chr1	300000	158	-0.377045
chr1	350000	244	-0.288667
chr1	400000	172	-0.78868
chr1	450000	165	-0.842074
chr1	500000	152	-0.726497
chr1	550000	163	-0.378132
chr1	600000	25	0.722205
chr1	650000	154	-0.359051
chr1	700000	244	-0.23847
chr1	750000	224	0.554731
chr1	800000	754	1.14376
chr1	850000	422	0.926053
chr1	900000	845	1.38633
chr1	950000	993	0.975683
chr1	1000000	334	1.12268
chr1	1050000	265	0.882944
chr1	1100000	312	1.12988
chr1	1150000	152	1.16365
chr1	1200000	311	0.822993
chr1	1250000	316	1.19463
chr1	1300000	586	1.35329
chr1	1350000	448	1.26568
chr1	1400000	195	0.93142
chr1	1450000	546	1.1615
chr1	1500000	379	1.13701
chr1	1550000	134	1.27476
chr1	1600000	249	1.05353
chr1	1650000	369	0.957127
chr1	1700000	632	1.30852
chr1	1750000	623	1.073
chr1	1800000	296	1.07862
chr1	1850000	163	0.547899
chr1	1900000	287	1.46183
chr1	1950000	210	0.25633
chr1	2000000	343	0.409917
chr1	2050000	176	-0.617116
chr1	2100000	391	-0.345799
chr1	2150000	272	-0.420147
chr1	2200000	431	0.444252
chr1	2250000	348	-0.179528
chr1	2300000	318	-0.629338
chr1	2350000	217	-0.245553
chr1	2400000	296	-0.212874
chr1	2450000	396	-0.397512
chr1	2500000	344	-0.55689
chr1	2550000	409	-0.104601
chr1	2600000	252	-0.24871
chr1	2650000	246	-0.342271
chr1	2700000	393	-0.0916177
chr1	2750000	375	-0.0403413
chr1	2800000	485	-0.308356
chr1	2850000	432	-0.213371
chr1	2900000	429	-0.502752
chr1	2950000	445	-0.402305
chr1	3000000	347	-0.0105895
chr1	3050000	449	-0.239975
chr1	3100000	318	-0.307935
chr1	3150000	261	-0.147687
chr1	3200000	376	1.17427
chr1	3250000	252	1.20968
chr1	3300000	117	1.25349
chr1	3350000	0	nan
chr1	3400000	228	0.790658
chr1	3450000	205	0.78213
chr1	3500000	370	0.784534
chr1	3550000	232	1.46644
chr1	3600000	184	0.49088
chr1	3650000	56	-0.202404
chr1	3700000	14	1.5487
chr1	3750000	51	0.776061
chr1	3800000	20	1.63812
chr1	3850000	2	0.221711
chr1	3900000	77	1.2173
chr1	3950000	3	0.24725
chr1	4000000	59	0.834025
chr1	4050000	52	0.620122
chr1	4100000	134	-0.306792
chr1	4150000	83	0.73245
chr1	4200000	116	0.222768
chr1	4250000	215	0.0890722
chr1	4300000	359	-0.470262
chr1	4350000	545	1.26879
chr1	4400000	420	0.999269
chr1	4450000	291	1.28776
chr1	4500000	279	1.65477
chr1	4550000	779	1.14975
chr1	4600000	673	1.69258
chr1	4650000	210	1.24992
chr1	4700000	336	0.780111
chr1	4750000	337	-0.246991
chr1	4800000	422	-0.216867
chr1	4850000	387	-0.303307
chr1	4900000	522	-0.211455
chr1	4950000	414	0.0878718
chr1	5000000	426	-0.333549
chr1	5050000	329	-0.13705
chr1	5100000	446	-0.249547
chr1	5150000	369	0.117145
chr1	5200000	498	-0.0225272
chr1	5250000	495	0.220872
chr1	5300000	421	-0.181556
chr1	5350000	456	-0.297314
chr1	5400000	481	-0.106862
chr1	5450000	331	-0.480042
chr1	5500000	384	-0.12231
chr1	5550000	198	0.187615
chr1	5600000	446	-0.2792
chr1	5650000	449	-0.171947
chr1	5700000	543	-0.205645
chr1	5750000	390	-0.294301
chr1	5800000	486	-0.255817
chr1	5850000	435	-0.119055
chr1	5900000	399	-0.00539349
chr1	5950000	389	-0.131694
chr1	6000000	476	-0.130123
chr1	6050000	359	-0.273064
chr1	6100000	389	-0.399503
chr1	6150000	411	-0.183608
chr1	6200000	471	-0.108409
chr1	6250000	392	-0.148933
chr1	6300000	546	-0.330729
chr1	6350000	343	-0.275193
chr1	6400000	361	-0.278368
chr1	6450000	235	-0.573345
chr1	6500000	406	-0.0807776
chr1	6550000	384	0.0350504
chr1	6600000	379	-0.11517
chr1	6650000	338	0.1447
chr1	6700000	309	-0.542606
chr1	6750000	537	-0.363151
chr1	6800000	360	-0.334282
chr1	6850000	450	-0.170802
chr1	6900000	346	0.0311199
chr1	6950000	328	-0.242077
chr1	7000000	367	-0.107876
chr1	7050000	268	-0.225158
chr1	7100000	371	-0.203096
chr1	7150000	310	-0.156336
chr1	7200000	302	-0.492297
chr1	7250000	371	-0.255684
chr1	7300000	95	-0.128273
chr1	7350000	566	0.0699875
chr1	7400000	570	-0.359275
chr1	7450000	461	-0.220688
chr1	7500000	366	-0.514046
chr1	7550000	452	0.0237562
chr1	7600000	346	-0.226192
chr1	7650000	500	-0.130677
chr1	7700000	481	-0.262047
chr1	7750000	439	-0.145679
chr1	7800000	383	-0.305126
chr1	7850000	419	-0.333582
chr1	7900000	361	-0.177262
chr1	7950000	320	0.213071
chr1	8000000	373	-0.393365
chr1	8050000	402	-0.351228
chr1	8100000	397	-0.153037
chr1	8150000	393	-0.206945
chr1	8200000	406	-0.0877555
chr1	8250000	440	-0.369983
chr1	8300000	368	-0.207549
chr1	8350000	320	-0.563324
chr1	8400000	472	-0.0127026
chr1	8450000	357	0.0724901
chr1	8500000	379	-0.132608
chr1	8550000	372	-0.416492
chr1	8600000	294	-0.357797
chr1	8650000	298	-0.601601
chr1	8700000	385	-0.242902
chr1	8750000	434	-0.13318
chr1	8800000	291	-0.374732
chr1	8850000	362	-0.315766
chr1	8900000	513	-0.126631
chr1	8950000	544	-0.0129335
chr1	9000000	488	-0.639326
chr1	9050000	430	0.0124843
chr1	9100000	441	0.052889
chr1	9150000	557	0.0270842
chr1	9200000	323	-0.16934
chr1	9250000	557	-0.149972
chr1	9300000	429	0.103448
chr1	9350000	442	-0.348948
chr1	9400000	420	-0.237525
chr1	9450000	447	0.208961
chr1	9500000	284	-0.390178
chr1	9550000	355	-0.167448
chr1	9600000	298	-0.482387
chr1	9650000	285	-0.0534396
chr1	9700000	436	-0.410466
chr1	9750000	441	-0.414776
chr1	9800000	321	-0.188208
chr1	9850000	374	-0.810423
chr1	9900000	393	-0.345498
chr1	9950000	388	-0.517412
chr1	10000000	387	-0.297614
chr1	10050000	268	0.357556
chr1	10100000	437	-0.060737
chr1	10150000	271	-0.591091
chr1	10200000	357	0.114794
chr1	10250000	399	-0.425868
chr1	10300000	403	-0.247965
chr1	10350000	203	-0.605892
chr1	10400000	243	-0.573001
chr1	10450000	323	-0.157656
chr1	10500000	303	-0.504073
chr1	10550000	268	0.0409913
chr1	10600000	341	-0.23177
chr1	10650000	279	-0.603803
chr1	10700000	237	-0.543115
chr1	10750000	345	-0.188632
chr1	10800000	304	-0.0472505
chr1	10850000	426	0.205957
chr1	10900000	181	0.233527
chr1	10950000	280	-0.364713
chr1	11000000	383	-0.193372
chr1	11050000	317	-0.416134
chr1	11100000	444	-0.757157
chr1	11150000	368	-0.571814
chr1	11200000	350	-0.205305
chr1	11250000	350	0.133573
chr1	11300000	382	-0.352959
chr1	11350000	352	-0.182526
chr1	11400000	303	-0.104574
chr1	11450000	507	-0.405575
chr1	11500000	373	-0.519071
chr1	11550000	285	-0.302689
chr1	11600000	276	-0.275888
chr1	11650000	446	-0.161295
chr1	11700000	232	-0.451176
chr1	11750000	337	-0.0313734
chr1	11800000	390	-0.61711
chr1	11850000	354	-0.257767
chr1	11900000	275	-0.535258
chr1	11950000	286	-0.357584
chr1	12000000	421	-0.32289
chr1	12050000	505	-0.330571
chr1	12100000	428	-0.0633621
chr1	12150000	295	-0.781691
chr1	12200000	403	0.105864
chr1	12250000	399	-0.43849
chr1	12300000	450	-0.105724
chr1	12350000	306	-0.28103
chr1	12400000	299	-0.00857052
chr1	12450000	293	-0.722827
chr1	12500000	354	-0.503954
chr1	12550000	289	-0.428636
chr1	12600000	319	-0.148161
chr1	12650000	326	0.188481
chr1	12700000	486	0.504375
chr1	12750000	332	-0.432091
chr1	12800000	394	0.0436955
chr1	12850000	308	-0.407655
chr1	12900000	420	-0.625054
chr1	12950000	486	-0.239615
chr1	13000000	291	-0.155443
chr1	13050000	371	-0.375279
chr1	13100000	251	-0.782919
chr1	13150000	268	-0.78794
chr1	13200000	442	-0.472902
chr1	13250000	317	-0.287169
chr1	13300000	410	-0.0244252
chr1	13350000	307	0.000608574
chr1	13400000	348	0.160386
chr1	13450000	425	-0.231432
chr1	13500000	354	-0.534172
chr1	13550000	391	-0.283816
chr1	13600000	370	-0.689345
chr1	13650000	477	-0.0987573
chr1	13700000	322	0.215842
chr1	13750000	319	-0.0663357
chr1	13800000	241	-0.288695
chr1	13850000	341	0.293136
chr1	13900000	377	-0.0800404
chr1	13950000	225	-0.567879
chr1	14000000	388	-0.536069
chr1	14050000	436	-0.195986
chr1	14100000	411	-0.537467
chr1	14150000	301	-0.682037
chr1	14200000	346	-0.543513
chr1	14250000	198	-0.472923
chr1	14300000	268	-0.249779
chr1	14350000	234	-0.0284529
chr1	14400000	533	-0.302843
chr1	14450000	563	-0.364655
chr1	14500000	378	-0.655874
chr1	14550000	228	-0.891898
chr1	14600000	256	-0.628476
chr1	14650000	307	-0.703019
chr1	14700000	381	-0.397737
chr1	14750000	268	-0.359991
chr1	14800000	238	-0.82307
chr1	14850000	210	0.0845065
chr1	14900000	305	-0.437707
chr1	14950000	174	-0.660503
chr1	15000000	236	-0.332648
chr1	15050000	290	-0.699136
chr1	15100000	192	-0.695918
chr1	15150000	296	-0.500698
chr1	15200000	306	-0.295415
chr1	15250000	229	-0.560251
chr1	15300000	371	-0.665362
chr1	15350000	292	-0.478858
chr1	15400000	255	-0.787494
chr1	15450000	125	-1.49515
chr1	15500000	194	-0.636769
chr1	15550000	368	-0.647062
chr1	15600000	324	-0.252209
chr1	15650000	511	-0.492182
chr1	15700000	423	-0.460409
chr1	15750000	273	-0.893913
chr1	15800000	480	-0.28693
chr1	15850000	270	-0.890152
chr1	15900000	156	-0.121343
chr1	15950000	306	-0.409471
chr1	16000000	282	-0.441064
chr1	16050000	349	-0.611625
chr1	16100000	318	-0.584836
chr1	16150000	277	0.301567
chr1	16200000	303	-0.290315
chr1	16250000	384	-0.244428
chr1	16300000	363	-0.538457
chr1	16350000	257	-0.401014
chr1	16400000	313	0.0755031
chr1	16450000	316	-0.130931
chr1	16500000	306	-0.416664
chr1	16550000	337	0.157175
chr1	16600000	657	-0.0598775
chr1	16650000	338	-0.860412
chr1	16700000	464	0.589267
chr1	16750000	321	-0.283242
chr1	16800000	389	0.0268874
chr1	16850000	313	0.093587
chr1	16900000	328	-0.111665
chr1	16950000	294	-0.297917
chr1	17000000	242	-0.450897
chr1	17050000	222	-0.537725
chr1	17100000	261	-0.31621
chr1	17150000	300	-0.25577
chr1	17200000	394	0.323296
chr1	17250000	342	-0.113272
chr1	17300000	445	-0.326592
chr1	17350000	304	-0.553005
chr1	17400000	221	0.218123
chr1	17450000	422	0.367275
chr1	17500000	504	-0.382532
chr1	17550000	340	-0.458285
chr1	17600000	294	-0.298987
chr1	17650000	380	0.197433
chr1	17700000	374	0.103355
chr1	17750000	224	-0.489252
chr1	17800000	264	-0.752652
chr1	17850000	212	-0.512495
chr1	17900000	346	-0.425313
chr1	17950000	254	-0.68186
chr1	18000000	351	-0.459197
chr1	18050000	301	-0.302875
chr1	18100000	214	-0.708357
chr1	18150000	272	-0.223744
chr1	18200000	366	-0.353275
chr1	18250000	364	-0.559378
chr1	18300000	244	-0.553814
chr1	18350000	428	0.290465
chr1	18400000	147	-0.517845
chr1	18450000	443	-0.621036
chr1	18500000	505	-0.175878
chr1	18550000	384	-0.360809
chr1	18600000	398	0.215169
chr1	18650000	221	-0.119889
chr1	18700000	218	-0.517831
chr1	18750000	283	-0.0318097
chr1	18800000	411	-0.36207
chr1	18850000	343	-0.346731
chr1	18900000	289	-0.394918
chr1	18950000	206	0.00333062
chr1	19000000	196	-0.846029
chr1	19050000	221	-0.605605
chr1	19100000	374	-0.45198
chr1	19150000	392	-0.360903
chr1	19200000	289	-0.325307
chr1	19250000	242	-0.158916
chr1	19300000	235	-0.477144
chr1	19350000	204	-0.338305
chr1	19400000	197	-0.395855
chr1	19450000	390	0.249632
chr1	19500000	381	-0.505945
chr1	19550000	279	-0.584653
chr1	19600000	347	-0.0341616
chr1	19650000	219	-1.02267
chr1	19700000	160	-0.589228
chr1	19750000	146	-0.697266
chr1	19800000	194	-0.762851
chr1	19850000	307	-0.636446
chr1	19900000	250	-0.585126
chr1	19950000	279	-0.172365
chr1	20000000	346	-0.66535
chr1	20050000	220	-0.88952
chr1	20100000	351	-0.694035
chr1	20150000	269	-0.202022
chr1	20200000	302	0.0365716
chr1	20250000	275	-0.000441463
chr1	20300000	257	-0.409571
chr1	20350000	235	-0.295432
chr1	20400000	391	-0.213784
chr1	20450000	222	-1.11741
chr1	20500000	387	-0.133337
chr1	20550000	396	0.380635
chr1	20600000	221	-1.02883
chr1	20650000	257	-0.689494
chr1	20700000	220	-1.19625
chr1	20750000	260	-0.470992
chr1	20800000	272	-0.473291
chr1	20850000	406	-0.124196
chr1	20900000	268	-0.504204
chr1	20950000	305	-0.518116
chr1	21000000	414	-0.43148
chr1	21050000	239	-1.12435
chr1	21100000	211	-0.312803
chr1	21150000	305	-0.494406
chr1	21200000	156	-0.496589
chr1	21250000	210	-0.468316
chr1	21300000	207	-0.48609
chr1	21350000	224	-0.421988
chr1	21400000	195	-0.366413
chr1	21450000	243	-0.671223
chr1	21500000	192	-0.612627
chr1	21550000	329	-0.55387
chr1	21600000	292	-0.609122
chr1	21650000	255	-0.606404
chr1	21700000	290	-1.38853
chr1	21750000	275	-1.49176
chr1	21800000	154	-1.21269
chr1	21850000	430	-0.0343763
chr1	21900000	165	0.572038
chr1	21950000	334	0.456855
chr1	22000000	235	0.528954
chr1	22050000	196	-0.940433
chr1	22100000	226	-0.640258
chr1	22150000	365	-0.143109
chr1	22200000	179	-0.249194
chr1	22250000	294	0.0891596
chr1	22300000	243	-0.757813
chr1	22350000	219	-0.883657
chr1	22400000	203	-0.999938
chr1	22450000	170	-0.849823
chr1	22500000	365	-0.416389
chr1	22550000	266	-0.288486
chr1	22600000	202	-0.768962
chr1	22650000	185	-0.848548
chr1	22700000	366	-0.245808
chr1	22750000	309	-0.296346
chr1	22800000	288	-0.240308
chr1	22850000	302	-0.724458
chr1	22900000	343	-0.656727
chr1	22950000	250	-0.637895
chr1	23000000	346	-0.53533
chr1	23050000	256	-0.880036
chr1	23100000	227	-0.364892
chr1	23150000	242	-0.966083
chr1	23200000	315	-0.553722
chr1	23250000	430	-0.354347
chr1	23300000	300	-0.236906
chr1	23350000	375	-0.590844
chr1	23400000	216	-0.390653
chr1	23450000	258	-0.357955
chr1	23500000	190	-0.320644
chr1	23550000	243	-1.07703
chr1	23600000	261	-0.412509
chr1	23650000	424	-0.237985
chr1	23700000	385	-0.220013
chr1	23750000	473	-0.679779
chr1	23800000	193	-1.08538
chr1	23850000	293	-1.47708
chr1	23900000	256	-0.585527
chr1	23950000	257	-0.553811
chr1	24000000	234	-0.514182
chr1	24050000	215	-0.432003
chr1	24100000	305	-0.519147
chr1	24150000	408	-0.781571
chr1	24200000	241	-0.937613
chr1	24250000	258	-0.56861
chr1	24300000	285	-1.26991
chr1	24350000	491	-0.671817
chr1	24400000	145	-0.626719
chr1	24450000	101	0.359042
chr1	24500000	179	0.0799648
chr1	24550000	179	-0.0023248
chr1	24600000	204	-0.241427
chr1	24650000	233	-0.276643
chr1	24700000	193	-0.245378
chr1	24750000	209	0.00670504
chr1	24800000	229	-0.0365633
chr1	24850000	182	-0.0879158
chr1	24900000	255	-0.709884
chr1	24950000	272	-1.41833
chr1	25000000	276	-0.169993
chr1	25050000	128	-1.07172
chr1	25100000	356	-0.741361
chr1	25150000	281	-1.50642
chr1	25200000	358	-0.882086
chr1	25250000	530	-0.58885
chr1	25300000	201	-0.935203
chr1	25350000	305	-1.04799
chr1	25400000	274	-1.24266
chr1	25450000	303	-1.29373
chr1	25500000	142	-0.147073
chr1	25550000	330	-0.659814
chr1	25600000	222	-1.0453
chr1	25650000	209	-1.00812
chr1	25700000	254	-1.04298
chr1	25750000	198	-0.601229
chr1	25800000	124	-1.00861
chr1	25850000	212	-0.593901
chr1	25900000	206	-0.551015
chr1	25950000	404	-0.503623
chr1	26000000	433	0.209657
chr1	26050000	361	-0.939039
chr1	26100000	244	-0.11748
chr1	26150000	237	-0.3934
chr1	26200000	228	-0.524269
chr1	26250000	303	-0.351537
chr1	26300000	185	-0.0233314
chr1	26350000	160	0.0741727
chr1	26400000	242	-0.591048
chr1	26450000	243	-0.735842
chr1	26500000	390	-0.82855
chr1	26550000	283	-0.29725
chr1	26600000	346	-0.483504
chr1	26650000	273	-0.584267
chr1	26700000	253	-0.56298
chr1	26750000	287	-0.883045
chr1	26800000	220	-0.173349
chr1	26850000	188	-0.0608518
chr1	26900000	279	-0.936112
chr1	26950000	402	0.0739501
chr1	27000000	323	-0.0203653
chr1	27050000	382	-0.34472
chr1	27100000	241	0.171282
chr1	27150000	218	-0.353713
chr1	27200000	241	-0.497182
chr1	27250000	309	-0.162022
chr1	27300000	264	-0.331346
chr1	27350000	269	-0.399435
chr1	27400000	267	-0.153143
chr1	27450000	230	-0.399365
chr1	27500000	315	-0.558714
chr1	27550000	473	-0.42876
chr1	27600000	233	0.00768326
chr1	27650000	220	-0.879533
chr1	27700000	247	-0.623065
chr1	27750000	297	-0.884224
chr1	27800000	252	-1.00907
chr1	27850000	210	-0.783574
chr1	27900000	246	-0.349932
chr1	27950000	280	-0.695841
chr1	28000000	268	-0.573379
chr1	28050000	269	-0.436815
chr1	28100000	247	-0.316615
chr1	28150000	221	-0.607025
chr1	28200000	260	-0.768244
chr1	28250000	416	-0.943865
chr1	28300000	166	-0.982151
chr1	28350000	175	-0.926964
chr1	28400000	396	0.278896
chr1	28450000	298	-0.629031
chr1	28500000	273	-0.915783
chr1	28550000	204	-0.87652
chr1	28600000	256	-0.352375
chr1	28650000	440	-0.11952
chr1	28700000	267	-0.516783
chr1	28750000	387	-0.303307
chr1	28800000	370	-0.423996
chr1	28850000	354	-0.624826
chr1	28900000	324	-0.182319
chr1	28950000	301	-0.692482
chr1	29000000	200	-0.605945
chr1	29050000	241	0.10222
chr1	29100000	411	-0.27169
chr1	29150000	245	-0.588622
chr1	29200000	457	0.561295
chr1	29250000	281	-0.723472
chr1	29300000	585	0.772711
chr1	29350000	478	-0.60847
chr1	29400000	378	-0.31786
chr1	29450000	444	-0.288386
chr1	29500000	239	-0.501563
chr1	29550000	376	-0.862886
chr1	29600000	323	0.198715
chr1	29650000	283	-0.460512
chr1	29700000	361	-0.299286
chr1	29750000	320	-0.184954
chr1	29800000	345	-0.557021
chr1	29850000	276	-0.65392
chr1	29900000	470	-0.741248
chr1	29950000	236	-1.10699
chr1	30000000	353	-0.698865
chr1	30050000	311	-1.03943
chr1	30100000	182	-0.542578
chr1	30150000	299	-0.372381
chr1	30200000	309	0.732451
chr1	30250000	161	-0.221725
chr1	30300000	209	0.0502403
chr1	30350000	227	-0.287449
chr1	30400000	289	-0.624419
chr1	30450000	515	-0.496706
chr1	30500000	290	-0.280731
chr1	30550000	224	-0.598555
chr1	30600000	364	-0.650144
chr1	30650000	473	-0.207037
chr1	30700000	344	-0.447151
chr1	30750000	201	-0.961732
chr1	30800000	254	-0.634865
chr1	30850000	189	-0.639332
chr1	30900000	120	-1.04541
chr1	30950000	239	-0.291341
chr1	31000000	215	-0.739978
chr1	31050000	305	-0.39441
chr1	31100000	329	-0.725952
chr1	31150000	379	-0.743751
chr1	31200000	279	-0.527204
chr1	31250000	279	-0.41343
chr1	31300000	354	-0.433742
chr1	31350000	388	-0.260272
chr1	31400000	308	-0.203477
chr1	31450000	232	-0.364565
chr1	31500000	220	-0.445836
chr1	31550000	382	-0.0761414
chr1	31600000	153	-0.631593
chr1	31650000	186	-0.307891
chr1	31700000	105	0.732544
chr1	31750000	375	0.0360242
chr1	31800000	314	-0.130946
chr1	31850000	187	-0.0378599
chr1	31900000	217	-0.717024
chr1	31950000	222	-0.626798
chr1	32000000	263	-1.23944
chr1	32050000	332	-0.687891
chr1	32100000	329	-0.740292
chr1	32150000	420	-0.687268
chr1	32200000	204	-0.599724
chr1	32250000	241	-0.626184
chr1	32300000	106	-0.535595
chr1	32350000	116	-1.09817
chr1	32400000	144	0.448381
chr1	32450000	130	-0.309815
chr1	32500000	104	-0.711127
chr1	32550000	234	-0.388054
chr1	32600000	260	-0.725952
chr1	32650000	347	-0.72138
chr1	32700000	97	-0.577641
chr1	32750000	123	-0.684352
chr1	32800000	229	-1.34441
chr1	32850000	267	-0.761564
chr1	32900000	232	-0.545906
chr1	32950000	176	-0.59041
chr1	33000000	249	-0.283577
chr1	33050000	297	-0.702158
chr1	33100000	240	-0.583104
chr1	33150000	297	-0.445995
chr1	33200000	180	-0.35387
chr1	33250000	187	-0.14348
chr1	33300000	171	0.0987988
chr1	33350000	384	-0.748473
chr1	33400000	294	-0.598383
chr1	33450000	152	0.101214
chr1	33500000	171	-0.687164
chr1	33550000	483	0.502752
chr1	33600000	334	-0.390727
chr1	33650000	319	-0.870786
chr1	33700000	224	-0.934871
chr1	33750000	364	-0.497138
chr1	33800000	385	-0.538007
chr1	33850000	215	-0.185332
chr1	33900000	370	-0.0735986
chr1	33950000	279	-0.857259
chr1	34000000	217	-0.384391
chr1	34050000	222	-0.225261
chr1	34100000	279	-0.762636
chr1	34150000	290	-1.03841
chr1	34200000	152	-1.52332
chr1	34250000	344	-0.652912
chr1	34300000	242	-1.09066
chr1	34350000	170	-1.09491
chr1	34400000	160	-0.473769
chr1	34450000	188	-0.849651
chr1	34500000	122	-1.13805
chr1	34550000	360	-0.721468
chr1	34600000	245	-0.0579168
chr1	34650000	217	-0.433563
chr1	34700000	164	-0.675477
chr1	34750000	100	-0.927225
chr1	34800000	125	-0.832979
chr1	34850000	238	-0.560514
chr1	34900000	179	-0.78145
chr1	34950000	134	-0.234479
chr1	35000000	174	-0.150891
chr1	35050000	185	-0.106361
chr1	35100000	312	-0.184379
chr1	35150000	173	-0.36382
chr1	35200000	214	-0.913649
chr1	35250000	218	-0.817276
chr1	35300000	354	-0.955447
