pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
HCU	chr1	1	50000	0.0012451784443695	17802	1463	1174932	0
HCU	chr1	50001	100000	0.0012128686880551	17027	1363	1123782	0
HCU	chr1	100001	150000	0.0016254831345282	17468	1874	1152888	0
HCU	chr1	150001	200000	0.0010733920541927	6719	476	443454	0
HCU	chr1	200001	250000	0.0017835529178596	16574	1951	1093884	0
HCU	chr1	250001	300000	0.0011830201809324	7185	561	474210	0
HCU	chr1	300001	350000	0.0009483167377904	6327	396	417582	0
HCU	chr1	350001	400000	0.0022614740049514	21004	3135	1386264	0
HCU	chr1	400001	450000	0.0017326494410142	6611	756	436326	0
HCU	chr1	450001	500000	0.0024199038022785	8102	1294	534732	0
HCU	chr1	500001	550000	0.0022028995145308	5468	795	360888	0
HCU	chr1	550001	600000	0.0031472199557057	8579	1782	566214	0
HCU	chr1	600001	650000	0.0039110618378911	984	254	64944	0
HCU	chr1	650001	700000	0.0023904825439181	5996	946	395736	0
HCU	chr1	700001	750000	0.0025938735177865	17296	2961	1141536	0
HCU	chr1	750001	800000	0.004496352413019	17280	5128	1140480	0
HCU	chr1	800001	850000	0.006171760248188	35877	14614	2367882	0
HCU	chr1	850001	900000	0.0069436340296417	2337	1071	154242	0
HCU	chr1	900001	950000	0.0105237879741513	34954	24278	2306964	0
HCU	chr1	950001	1000000	0.0089092693053089	37370	21974	2466420	0
HCU	chr1	1000001	1050000	0.0100074353955175	19970	13190	1318020	0
HCU	chr1	1050001	1100000	0.0095416389107958	11873	7477	783618	0
HCU	chr1	1100001	1150000	0.0065371053621158	16681	7197	1100946	0
HCU	chr1	1150001	1200000	0.0062189500453264	22831	9371	1506846	0
HCU	chr1	1200001	1250000	0.0090933949834688	12190	7316	804540	0
HCU	chr1	1250001	1300000	0.0084133038678493	6006	3335	396396	0
HCU	chr1	1300001	1350000	0.0104216770883437	11340	7800	748440	0
HCU	chr1	1350001	1400000	0.0084708633636247	10444	5839	689304	0
HCU	chr1	1400001	1450000	0.0075960344644717	9714	4870	641124	0
HCU	chr1	1450001	1500000	0.0095886958703118	26213	16589	1730058	0
HCU	chr1	1500001	1550000	0.0103693395003615	6663	4560	439758	0
HCU	chr1	1550001	1600000	0.0075678153407672	6677	3335	440682	0
HCU	chr1	1600001	1650000	0.009280238807197	11796	7225	778536	0
HCU	chr1	1650001	1700000	0.0065282006669566	4180	1801	275880	0
HCU	chr1	1700001	1750000	0.0077982133473462	12975	6678	856350	0
HCU	chr1	1750001	1800000	0.0095267881965129	15260	9595	1007160	0
HCU	chr1	1800001	1850000	0.0095049637605542	11761	7378	776226	0
HCU	chr1	1850001	1900000	0.0094739521817767	10237	6401	675642	0
HCU	chr1	1900001	1950000	0.0082354049066533	16733	9095	1104378	0
HCU	chr1	1950001	2000000	0.0031388120631918	21727	4501	1433982	0
HCU	chr1	2000001	2050000	0.0054261692781422	24455	8758	1614030	0
HCU	chr1	2050001	2100000	0.0040747842761265	18774	5049	1239084	0
HCU	chr1	2100001	2150000	0.0044267945557666	25742	7521	1698972	0
HCU	chr1	2150001	2200000	0.004153484095195	17499	4797	1154934	0
HCU	chr1	2200001	2250000	0.0058567603748326	15936	6160	1051776	0
HCU	chr1	2250001	2300000	0.0043447726530417	23473	6731	1549218	0
HCU	chr1	2300001	2350000	0.0043793873305966	14306	4135	944196	0
HCU	chr1	2350001	2400000	0.0051454021482839	8675	2946	572550	0
HCU	chr1	2400001	2450000	0.004698212435746	13777	4272	909282	0
HCU	chr1	2450001	2500000	0.00443791730868	16992	4977	1121472	0
HCU	chr1	2500001	2550000	0.0045001755715315	14757	4383	973962	0
HCU	chr1	2550001	2600000	0.0044178573503582	20341	5931	1342506	0
HCU	chr1	2600001	2650000	0.0046766808130444	13024	4020	859584	0
HCU	chr1	2650001	2700000	0.0033043669407305	17094	3728	1128204	0
HCU	chr1	2700001	2750000	0.0046057089067841	23436	7124	1546776	0
HCU	chr1	2750001	2800000	0.0056851234861706	9168	3440	605088	0
HCU	chr1	2800001	2850000	0.0049606609523005	21530	7049	1420980	0
HCU	chr1	2850001	2900000	0.0044320839405698	25513	7463	1683858	0
HCU	chr1	2900001	2950000	0.0067644913588751	17948	8013	1184568	0
HCU	chr1	2950001	3000000	0.0055163115324825	21891	7970	1444806	0
HCU	chr1	3000001	3050000	0.0045593297693502	13213	3976	872058	0
HCU	chr1	3050001	3100000	0.0046887407028852	11029	3413	727914	0
HCU	chr1	3100001	3150000	0.0045260556330797	14137	4223	933042	0
HCU	chr1	3150001	3200000	0.0028336763353621	29066	5436	1918356	0
HCU	chr1	3200001	3250000	0.0045368658239615	5998	1796	395868	0
HCU	chr1	3250001	3300000	0.0089205794683282	3487	2053	230142	0
HCU	chr1	3300001	3350000	0.0094409136962328	658	410	43428	0
HCU	chr1	3350001	3400000	NA	0	NA	NA	NA
HCU	chr1	3400001	3450000	0.006742118103635	6434	2863	424644	0
HCU	chr1	3450001	3500000	0.0064856506999974	4684	2005	309144	0
HCU	chr1	3500001	3550000	0.0011492839302289	20698	1570	1366068	0
HCU	chr1	3550001	3600000	0.00107952261849	18246	1300	1204236	0
HCU	chr1	3600001	3650000	0.0023642239283667	29294	4571	1933404	0
HCU	chr1	3650001	3700000	0.0075850988304749	811	406	53526	0
HCU	chr1	3700001	3750000	0.0031565656565656	168	35	11088	0
HCU	chr1	3750001	3800000	0.0011190745630579	1205	89	79530	0
HCU	chr1	3800001	3850000	0.004360679970436	615	177	40590	0
HCU	chr1	3850001	3900000	NA	0	NA	NA	NA
HCU	chr1	3900001	3950000	0.0068592905802208	645	292	42570	0
HCU	chr1	3950001	4000000	0.0011520737327188	434	33	28644	0
HCU	chr1	4000001	4050000	0.0044276545617028	2238	654	147708	0
HCU	chr1	4050001	4100000	0.002337274086153	5575	860	367950	0
HCU	chr1	4100001	4150000	0.0013890723753616	15827	1451	1044582	0
HCU	chr1	4150001	4200000	0.0064226075786769	6228	2640	411048	0
HCU	chr1	4200001	4250000	0.001776285242255	25257	2961	1666962	0
HCU	chr1	4250001	4300000	0.0016075768589701	33016	3503	2179056	0
HCU	chr1	4300001	4350000	0.004194014044129	26954	7461	1778964	0
HCU	chr1	4350001	4400000	0.0122330392753993	37016	29886	2443056	0
HCU	chr1	4400001	4450000	0.004692415269016	17898	5543	1181268	0
HCU	chr1	4450001	4500000	0.0087469415255138	7691	4440	507606	0
HCU	chr1	4500001	4550000	0.0060095161423499	23488	9316	1550208	0
HCU	chr1	4550001	4600000	0.0073682464751154	37822	18393	2496252	0
HCU	chr1	4600001	4650000	0.0061498600532057	34970	14194	2308020	0
HCU	chr1	4650001	4700000	0.0051644402605941	16224	5530	1070784	0
HCU	chr1	4700001	4750000	0.0047046934423172	29896	9283	1973136	0
HCU	chr1	4750001	4800000	0.0029572330523757	25961	5067	1713426	0
HCU	chr1	4800001	4850000	0.0042410725061672	25108	7028	1657128	0
HCU	chr1	4850001	4900000	0.0046812734248848	22501	6952	1485066	0
HCU	chr1	4900001	4950000	0.0039816797448619	28106	7386	1854996	0
HCU	chr1	4950001	5000000	0.0036014291580925	27081	6437	1787346	0
HCU	chr1	5000001	5050000	0.0037723741252038	29561	7360	1951026	0
HCU	chr1	5050001	5100000	0.0031752217703937	28459	5964	1878294	0
HCU	chr1	5100001	5150000	0.0049542744048936	18894	6178	1247004	0
HCU	chr1	5150001	5200000	0.0063183397149962	18424	7683	1215984	0
HCU	chr1	5200001	5250000	0.0061040508846173	28528	11493	1882848	0
HCU	chr1	5250001	5300000	0.0041468934426441	23486	6428	1550076	0
HCU	chr1	5300001	5350000	0.0056114956996014	28602	10593	1887732	0
HCU	chr1	5350001	5400000	0.0060883511970468	20424	8207	1347984	0
HCU	chr1	5400001	5450000	0.0055479336654872	20144	7376	1329504	0
HCU	chr1	5450001	5500000	0.0048319451828223	20520	6544	1354320	0
HCU	chr1	5500001	5550000	0.0044411965312286	23325	6837	1539450	0
HCU	chr1	5550001	5600000	0.0062845075439533	4764	1976	314424	0
HCU	chr1	5600001	5650000	0.004031565345344	24342	6477	1606572	0
HCU	chr1	5650001	5700000	0.0053572382264662	28370	10031	1872420	0
HCU	chr1	5700001	5750000	0.004947087169076	28569	9328	1885554	0
HCU	chr1	5750001	5800000	0.0054704306089205	19496	7039	1286736	0
HCU	chr1	5800001	5850000	0.0057095186559472	23520	8863	1552320	0
HCU	chr1	5850001	5900000	0.0043410634331712	30334	8691	2002044	0
HCU	chr1	5900001	5950000	0.0054439907785462	17456	6272	1152096	0
HCU	chr1	5950001	6000000	0.005154410654342	21873	7441	1443618	0
HCU	chr1	6000001	6050000	0.0061193340045098	20588	8315	1358808	0
HCU	chr1	6050001	6100000	0.0055394833983834	12601	4607	831666	0
HCU	chr1	6100001	6150000	0.0056427932564929	21548	8025	1422168	0
HCU	chr1	6150001	6200000	0.0060461807835412	24368	9724	1608288	0
HCU	chr1	6200001	6250000	0.0050417667438944	21385	7116	1411410	0
HCU	chr1	6250001	6300000	0.0047278248820034	17123	5343	1130118	0
HCU	chr1	6300001	6350000	0.0063053448006168	21891	9110	1444806	0
HCU	chr1	6350001	6400000	0.0046906122919435	16826	5209	1110516	0
HCU	chr1	6400001	6450000	0.0047961278008732	18544	5870	1223904	0
