chrom	length	bases	mean	min	max
chr1	434526931	18679673795	42.99	0	30552
chr2	381225800	15279580284	40.08	0	15567
chr3	268276564	11038278006	41.15	0	6782
chr4	218045602	9181552034	42.11	0	17247
chr5	142905876	5976028008	41.82	0	4296
chr6	106938139	4250424283	39.75	0	10850
chr7	42362139	1307089964	30.86	0	6967
chr8	34083018	1069491368	31.38	0	1756
chr9	30848814	1305036784	42.30	0	4409
chr10	28798323	994042495	34.52	0	4508
chr11	28504944	1094474125	38.40	0	1480
chr12	23795472	670876678	28.19	0	1176
chr13	19560250	857012921	43.81	0	3142
chr14	16934482	465744966	27.50	0	490
chr15	16659334	403245931	24.21	0	1263
chrZ	171188827	6880333667	40.19	0	14351
scaffold_17	8602431	28389458	3.30	0	2027
scaffold_18	5896640	484827	0.08	0	262
scaffold_19	3578573	1271388	0.36	0	578
scaffold_20	3463715	1549513	0.45	0	322
scaffold_21	2653684	3535093	1.33	0	746
scaffold_22	2594236	1925575	0.74	0	251
scaffold_23	2401630	455730	0.19	0	143
scaffold_24	2227603	6280077	2.82	0	282
scaffold_25	2202738	600735	0.27	0	177
scaffold_26	2177833	462137	0.21	0	644
scaffold_27	2141302	164668	0.08	0	185
scaffold_28	2117275	19270813	9.10	0	1928
scaffold_29	1993315	1070834	0.54	0	2161
scaffold_30	1963441	317742	0.16	0	91
scaffold_31	1903766	844417	0.44	0	634
scaffold_32	1891392	812580	0.43	0	943
scaffold_33	1859776	808233	0.43	0	472
scaffold_34	1787999	2593	0.00	0	5
scaffold_35	1751308	52979617	30.25	0	1496
scaffold_36	1660000	869130	0.52	0	343
scaffold_37	1534483	5652529	3.68	0	640
scaffold_38	1527826	8803714	5.76	0	1642
scaffold_39	1505925	5206511	3.46	0	223
scaffold_40	1478730	194067	0.13	0	176
scaffold_41	1436034	4028714	2.81	0	220
scaffold_42	1377455	54590551	39.63	0	568
scaffold_43	1343551	3140559	2.34	0	217
scaffold_44	1304300	11710519	8.98	0	214
scaffold_45	1257125	1640086	1.30	0	1886
scaffold_46	1222163	605249	0.50	0	663
scaffold_47	1141902	583404	0.51	0	160
scaffold_48	1095069	39982	0.04	0	16
scaffold_49	1086189	2456702	2.26	0	186
scaffold_50	1081135	6754451	6.25	0	511
scaffold_51	998428	1187787	1.19	0	259
scaffold_52	990424	23935230	24.17	0	599
scaffold_53	984522	64223	0.07	0	54
scaffold_54	970918	137619	0.14	0	109
scaffold_55	940026	4878706	5.19	0	370
scaffold_56	934443	431827	0.46	0	840
scaffold_57	930907	1849714	1.99	0	243
scaffold_58	922701	26669721	28.90	0	1390
scaffold_59	917863	615868	0.67	0	140
scaffold_60	912060	106652	0.12	0	66
scaffold_61	904647	9152822	10.12	0	3557
scaffold_62	884248	2304154	2.61	0	204
scaffold_63	867928	86997	0.10	0	52
scaffold_64	841645	1321276	1.57	0	3314
scaffold_65	832083	119382	0.14	0	105
scaffold_66	826999	69549	0.08	0	55
scaffold_67	823448	33650040	40.86	0	204
scaffold_68	810612	472063	0.58	0	219
scaffold_69	793079	662440	0.84	0	216
scaffold_70	782272	24240009	30.99	0	101
scaffold_71	766061	447492	0.58	0	114
scaffold_72	730958	203939	0.28	0	141
scaffold_73	720968	170184	0.24	0	161
scaffold_74	694750	273850	0.39	0	152
scaffold_75	682876	77037	0.11	0	56
scaffold_76	675224	98731	0.15	0	198
scaffold_77	648781	1673739	2.58	0	3485
scaffold_78	647957	1850300	2.86	0	205
scaffold_79	644743	458741	0.71	0	98
scaffold_80	643888	93504	0.15	0	95
scaffold_81	641836	105570	0.16	0	118
scaffold_82	641623	56091	0.09	0	57
scaffold_83	632156	1223838	1.94	0	276
scaffold_84	618935	99904	0.16	0	63
scaffold_85	608512	806615	1.33	0	312
scaffold_86	599561	76045	0.13	0	120
scaffold_87	597950	22026	0.04	0	20
scaffold_88	593645	19543863	32.92	0	165
scaffold_89	589793	153064	0.26	0	91
scaffold_90	587799	295266	0.50	0	249
scaffold_91	579954	1533014	2.64	0	1156
scaffold_92	575435	19987	0.03	0	31
scaffold_93	574812	821	0.00	0	4
scaffold_94	573203	52215	0.09	0	30
scaffold_95	571820	13493513	23.60	0	1103
scaffold_96	569116	281783	0.50	0	166
scaffold_97	566767	17868056	31.53	0	2482
scaffold_98	562264	85106	0.15	0	168
scaffold_99	552607	2018733	3.65	0	77
scaffold_100	552600	88366	0.16	0	170
scaffold_101	551962	938393	1.70	0	1072
scaffold_102	538660	6817328	12.66	0	685
scaffold_103	529121	178116	0.34	0	151
scaffold_104	524994	1654913	3.15	0	477
scaffold_105	510983	0	0.00	0	0
scaffold_106	487615	3260128	6.69	0	914
scaffold_107	486710	13414162	27.56	0	1335
scaffold_108	477535	1204981	2.52	0	177
scaffold_109	476316	15509	0.03	0	34
scaffold_110	473572	44906	0.09	0	41
scaffold_111	472568	1090578	2.31	0	1829
scaffold_112	464128	47802	0.10	0	36
scaffold_113	434512	1963	0.00	0	4
scaffold_114	428327	9358	0.02	0	16
scaffold_115	426002	2131	0.01	0	3
scaffold_116	425001	6840388	16.09	0	355
scaffold_117	421247	107122	0.25	0	45
scaffold_118	417582	136242	0.33	0	233
scaffold_119	414965	14594240	35.17	0	213
scaffold_120	412321	1112594	2.70	0	488
scaffold_121	411527	705673	1.71	0	109
scaffold_122	410311	13545	0.03	0	24
scaffold_123	408673	884978	2.17	0	179
scaffold_124	403770	3648	0.01	0	7
scaffold_125	386874	75820	0.20	0	57
scaffold_126	386683	1432213	3.70	0	737
scaffold_127	384542	61469	0.16	0	263
scaffold_128	384535	14079880	36.62	0	169
scaffold_129	384120	95	0.00	0	2
scaffold_130	377893	1186382	3.14	0	258
scaffold_131	371774	11800363	31.74	0	262
scaffold_132	370701	59513	0.16	0	342
scaffold_133	369452	3594955	9.73	0	210
scaffold_134	369357	481861	1.30	0	100
scaffold_135	363025	47652	0.13	0	103
scaffold_136	362827	48732	0.13	0	27
scaffold_137	361309	40566	0.11	0	29
scaffold_138	361307	4757	0.01	0	16
scaffold_139	361075	992824	2.75	0	2633
scaffold_140	360845	5248	0.01	0	12
scaffold_141	355646	662816	1.86	0	151
scaffold_143	351123	984	0.00	0	7
scaffold_144	349397	3346007	9.58	0	1531
scaffold_145	345615	0	0.00	0	0
scaffold_146	341776	58111	0.17	0	51
scaffold_147	340558	35468	0.10	0	115
scaffold_148	340397	5778297	16.98	0	204
scaffold_149	338565	696078	2.06	0	179
scaffold_150	331634	389227	1.17	0	386
scaffold_151	322426	133	0.00	0	1
scaffold_152	321929	8360	0.03	0	20
scaffold_153	319818	4590	0.01	0	32
scaffold_154	318873	707	0.00	0	2
scaffold_155	317673	59707	0.19	0	70
scaffold_156	317429	7789	0.02	0	6
scaffold_157	314480	4012	0.01	0	9
scaffold_158	313413	1112892	3.55	0	537
scaffold_159	312155	1924181	6.16	0	399
scaffold_160	308401	2753780	8.93	0	239
scaffold_161	308107	6573808	21.34	0	249
scaffold_162	307127	668377	2.18	0	78
scaffold_163	306710	938226	3.06	0	161
scaffold_164	303353	10593	0.03	0	14
scaffold_165	301187	2963	0.01	0	10
scaffold_166	300284	5726966	19.07	0	139
scaffold_167	299327	7274	0.02	0	7
scaffold_168	298213	296	0.00	0	1
scaffold_169	297747	5200	0.02	0	13
scaffold_170	296823	578409	1.95	0	149
scaffold_171	294268	3595	0.01	0	14
scaffold_172	292543	6544259	22.37	0	205
scaffold_173	292198	871	0.00	0	2
scaffold_174	291683	19223	0.07	0	38
scaffold_175	289071	5853	0.02	0	7
scaffold_176	284263	574627	2.02	0	389
scaffold_177	283131	2503	0.01	0	20
scaffold_178	278292	0	0.00	0	0
scaffold_179	273677	635	0.00	0	1
scaffold_180	272495	102009	0.37	0	340
scaffold_181	272201	49579	0.18	0	48
scaffold_182	269380	5302786	19.69	0	100
scaffold_183	268932	182379	0.68	0	816
scaffold_184	265838	9629	0.04	0	9
scaffold_185	260123	745	0.00	0	2
scaffold_186	259862	3540	0.01	0	19
scaffold_187	259766	0	0.00	0	0
scaffold_188	259019	0	0.00	0	0
scaffold_189	255803	306123	1.20	0	85
scaffold_190	255030	55050	0.22	0	47
scaffold_191	254807	230050	0.90	0	950
scaffold_192	250226	7857	0.03	0	9
scaffold_193	250204	6596978	26.37	0	107
scaffold_194	239700	840	0.00	0	2
scaffold_195	234697	80301	0.34	0	123
scaffold_196	226946	550745	2.43	0	703
scaffold_197	226579	6686600	29.51	0	213
scaffold_198	226175	2525	0.01	0	5
scaffold_199	225761	797508	3.53	0	126
scaffold_200	225032	3662806	16.28	0	91
scaffold_201	224975	6181294	27.48	0	126
