pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
HCU	HEL	chr1	1	50000	0.7268178104575163	275
HCU	HEL	chr1	50001	100000	0.6814571823204421	253
HCU	HEL	chr1	100001	150000	0.6298665183537263	310
HCU	HEL	chr1	150001	200000	0.6523605150214591	228
HCU	HEL	chr1	200001	250000	0.603506585973656	352
HCU	HEL	chr1	250001	300000	0.7222222222222222	290
HCU	HEL	chr1	300001	350000	0.5931029232643117	233
HCU	HEL	chr1	350001	400000	0.6414821944177093	470
HCU	HEL	chr1	400001	450000	0.6173215618005471	273
HCU	HEL	chr1	450001	500000	0.5749999999999998	325
HCU	HEL	chr1	500001	550000	0.4551400147383933	231
HCU	HEL	chr1	550001	600000	0.4726562499999999	415
HCU	HEL	chr1	600001	650000	0.4732704402515722	20
HCU	HEL	chr1	650001	700000	0.5116322008862628	279
HCU	HEL	chr1	700001	750000	0.5341887153331207	392
HCU	HEL	chr1	750001	800000	0.501798341867837	458
HCU	HEL	chr1	800001	850000	0.4101267592506291	1225
HCU	HEL	chr1	850001	900000	0.3300852618757612	101
HCU	HEL	chr1	900001	950000	0.2832786057085122	1410
HCU	HEL	chr1	950001	1000000	0.2526270421147688	1586
HCU	HEL	chr1	1000001	1050000	0.2566689273199954	541
HCU	HEL	chr1	1050001	1100000	0.2825683820120538	385
HCU	HEL	chr1	1100001	1150000	0.2715168625057226	393
HCU	HEL	chr1	1150001	1200000	0.3329683071373357	244
HCU	HEL	chr1	1200001	1250000	0.2718083114938225	480
HCU	HEL	chr1	1250001	1300000	0.2469562163427768	286
HCU	HEL	chr1	1300001	1350000	0.2501862891207153	581
HCU	HEL	chr1	1350001	1400000	0.2894095162778435	455
HCU	HEL	chr1	1400001	1450000	0.5045174932718185	265
HCU	HEL	chr1	1450001	1500000	0.3388308182195764	842
HCU	HEL	chr1	1500001	1550000	0.3076293720597259	291
HCU	HEL	chr1	1550001	1600000	0.2763519077683228	222
HCU	HEL	chr1	1600001	1650000	0.2790788446526151	390
HCU	HEL	chr1	1650001	1700000	0.3564572425828969	134
HCU	HEL	chr1	1700001	1750000	0.3134204521883427	523
HCU	HEL	chr1	1750001	1800000	0.2892355142077055	583
HCU	HEL	chr1	1800001	1850000	0.2733587578316535	433
HCU	HEL	chr1	1850001	1900000	0.2750698540825829	214
HCU	HEL	chr1	1900001	1950000	0.2915531335149863	425
HCU	HEL	chr1	1950001	2000000	0.5174909529553678	425
HCU	HEL	chr1	2000001	2050000	0.3885910038725052	716
HCU	HEL	chr1	2050001	2100000	0.515958251399183	458
HCU	HEL	chr1	2100001	2150000	0.4585175927706209	751
HCU	HEL	chr1	2150001	2200000	0.5065654493229379	524
HCU	HEL	chr1	2200001	2250000	0.385612297401595	554
HCU	HEL	chr1	2250001	2300000	0.3924335245046923	611
HCU	HEL	chr1	2300001	2350000	0.3997240110395583	432
HCU	HEL	chr1	2350001	2400000	0.3491310313286073	352
HCU	HEL	chr1	2400001	2450000	0.3606288127639604	510
HCU	HEL	chr1	2450001	2500000	0.4422960725075527	612
HCU	HEL	chr1	2500001	2550000	0.4002711076684739	482
HCU	HEL	chr1	2550001	2600000	0.3719686606143513	582
HCU	HEL	chr1	2600001	2650000	0.4798569277108433	429
HCU	HEL	chr1	2650001	2700000	0.3922995031937543	458
HCU	HEL	chr1	2700001	2750000	0.3392134181607865	684
HCU	HEL	chr1	2750001	2800000	0.3815939549472483	503
HCU	HEL	chr1	2800001	2850000	0.3160896248263084	681
HCU	HEL	chr1	2850001	2900000	0.3435715854194115	733
HCU	HEL	chr1	2900001	2950000	0.4054518664047151	709
HCU	HEL	chr1	2950001	3000000	0.4304741079415565	699
HCU	HEL	chr1	3000001	3050000	0.4766685520361991	573
HCU	HEL	chr1	3050001	3100000	0.3459369244935543	661
HCU	HEL	chr1	3100001	3150000	0.458296879556722	437
HCU	HEL	chr1	3150001	3200000	0.4737645940809122	525
HCU	HEL	chr1	3200001	3250000	0.2819381653784454	413
HCU	HEL	chr1	3250001	3300000	0.2818854995579133	283
HCU	HEL	chr1	3300001	3350000	0.2707197382769901	65
HCU	HEL	chr1	3400001	3450000	0.2479266987693954	261
HCU	HEL	chr1	3450001	3500000	0.2755787901418969	178
HCU	HEL	chr1	3500001	3550000	0.572310405643739	275
HCU	HEL	chr1	3550001	3600000	0.6090604026845637	268
HCU	HEL	chr1	3600001	3650000	0.6616502866502866	449
HCU	HEL	chr1	3650001	3700000	0.2668539325842696	32
HCU	HEL	chr1	3700001	3750000	0.3229166666666667	5
HCU	HEL	chr1	3750001	3800000	0.4999999999999999	20
HCU	HEL	chr1	3800001	3850000	0.4475806451612903	16
HCU	HEL	chr1	3900001	3950000	0.4365079365079364	15
HCU	HEL	chr1	4000001	4050000	0.3389724310776942	28
HCU	HEL	chr1	4050001	4100000	0.4352409638554216	36
HCU	HEL	chr1	4100001	4150000	0.7562875584242154	198
HCU	HEL	chr1	4150001	4200000	0.4974646867077146	154
HCU	HEL	chr1	4200001	4250000	0.76981043212057	349
HCU	HEL	chr1	4250001	4300000	0.647843457341696	533
HCU	HEL	chr1	4300001	4350000	0.4967470794947288	516
HCU	HEL	chr1	4350001	4400000	0.3924176813582576	1172
HCU	HEL	chr1	4400001	4450000	0.3918544514222386	460
HCU	HEL	chr1	4450001	4500000	0.2054180887372013	70
HCU	HEL	chr1	4500001	4550000	0.4531810265341665	465
HCU	HEL	chr1	4550001	4600000	0.2947411602794834	1165
HCU	HEL	chr1	4600001	4650000	0.3944535765417041	961
HCU	HEL	chr1	4650001	4700000	0.3103244139237509	232
HCU	HEL	chr1	4700001	4750000	0.3576240376390076	618
HCU	HEL	chr1	4750001	4800000	0.5543719016981331	606
HCU	HEL	chr1	4800001	4850000	0.4492252495840265	672
HCU	HEL	chr1	4850001	4900000	0.4132125761531766	689
HCU	HEL	chr1	4900001	4950000	0.3651749204906859	875
HCU	HEL	chr1	4950001	5000000	0.4820923656927426	682
HCU	HEL	chr1	5000001	5050000	0.3800452050371327	691
HCU	HEL	chr1	5050001	5100000	0.3767213114754097	635
HCU	HEL	chr1	5100001	5150000	0.3376706484641638	607
HCU	HEL	chr1	5150001	5200000	0.4440707284259081	641
HCU	HEL	chr1	5200001	5250000	0.3492884599656498	924
HCU	HEL	chr1	5250001	5300000	0.382258064516129	623
HCU	HEL	chr1	5300001	5350000	0.4270077664931295	814
HCU	HEL	chr1	5350001	5400000	0.2943455134135059	698
HCU	HEL	chr1	5400001	5450000	0.3770636143517498	653
HCU	HEL	chr1	5450001	5500000	0.393113618876635	647
HCU	HEL	chr1	5500001	5550000	0.3982037726781207	677
HCU	HEL	chr1	5550001	5600000	0.3331805682859761	251
HCU	HEL	chr1	5600001	5650000	0.398422090729783	614
HCU	HEL	chr1	5650001	5700000	0.2796542974944497	797
HCU	HEL	chr1	5700001	5750000	0.3050257486172038	862
HCU	HEL	chr1	5750001	5800000	0.3757188865884518	631
HCU	HEL	chr1	5800001	5850000	0.2842673869007427	718
HCU	HEL	chr1	5850001	5900000	0.3573830481653645	771
HCU	HEL	chr1	5900001	5950000	0.334826645890144	555
HCU	HEL	chr1	5950001	6000000	0.3451102317693612	638
HCU	HEL	chr1	6000001	6050000	0.3409358603704893	680
HCU	HEL	chr1	6050001	6100000	0.2377720318896788	406
HCU	HEL	chr1	6100001	6150000	0.4754496840058337	696
HCU	HEL	chr1	6150001	6200000	0.3493512734262373	800
HCU	HEL	chr1	6200001	6250000	0.3348219532259959	666
HCU	HEL	chr1	6250001	6300000	0.3619109947643977	507
HCU	HEL	chr1	6300001	6350000	0.2949432509120389	731
HCU	HEL	chr1	6350001	6400000	0.4050624501727344	540
HCU	HEL	chr1	6400001	6450000	0.3166936433195997	557
HCU	HEL	chr1	6450001	6500000	0.5454873646209386	454
HCU	HEL	chr1	6500001	6550000	0.4236563027235479	575
HCU	HEL	chr1	6550001	6600000	0.4312703217849534	608
HCU	HEL	chr1	6600001	6650000	0.3550327174749806	839
HCU	HEL	chr1	6650001	6700000	0.3539803501700465	657
HCU	HEL	chr1	6700001	6750000	0.4942654953635919	593
HCU	HEL	chr1	6750001	6800000	0.3181433885694961	713
HCU	HEL	chr1	6800001	6850000	0.3720828471411901	674
HCU	HEL	chr1	6850001	6900000	0.3808357744415964	856
HCU	HEL	chr1	6900001	6950000	0.3274034566567647	575
