chrom	length	bases	mean	min	max
chr1	434526931	18746434347	43.14	0	30666
chr2	381225800	15409395732	40.42	0	22909
chr3	268276564	11077004597	41.29	0	7059
chr4	218045602	9220766752	42.29	0	17366
chr5	142905876	6000330799	41.99	0	4389
chr6	106938139	4280112411	40.02	0	14793
chr7	42362139	1311457456	30.96	0	7040
chr8	34083018	1131829508	33.21	0	2209
chr9	30848814	1320599585	42.81	0	4409
chr10	28798323	1004622523	34.88	0	4618
chr11	28504944	1100964195	38.62	0	7658
chr12	23795472	690274285	29.01	0	5275
chr13	19560250	859530887	43.94	0	3142
chr14	16934482	467686096	27.62	0	1264
chr15	16659334	427804119	25.68	0	1337
chrZ	171188827	6990908458	40.84	0	14547
total	1964654515	80039721750	40.74	0	30666
