pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
HEL	chr1	1	50000	0.0010389494995652	35014	1637	1575630	0
HEL	chr1	50001	100000	0.0013464262178093	30517	1849	1373265	0
HEL	chr1	100001	150000	0.0011853743635384	34457	1838	1550565	0
HEL	chr1	150001	200000	0.0012581214420564	30663	1736	1379835	0
HEL	chr1	200001	250000	0.0016360070736172	35751	2632	1608795	0
HEL	chr1	250001	300000	0.0012542595557745	32476	1833	1461420	0
HEL	chr1	300001	350000	0.0018203759863961	28358	2323	1276110	0
HEL	chr1	350001	400000	0.0027155873376551	29926	3657	1346670	0
HEL	chr1	400001	450000	0.0019118300189688	26769	2303	1204605	0
HEL	chr1	450001	500000	0.001718554239652	28202	2181	1269090	0
HEL	chr1	500001	550000	0.0019111752445085	24255	2086	1091475	0
HEL	chr1	550001	600000	0.0020880589404089	25276	2375	1137420	0
HEL	chr1	600001	650000	0.0024860229061499	4094	458	184230	0
HEL	chr1	650001	700000	0.0029817657090384	16940	2273	762300	0
HEL	chr1	700001	750000	0.0026404337855504	31106	3696	1399770	0
HEL	chr1	750001	800000	0.0027386931197166	32124	3959	1445580	0
HEL	chr1	800001	850000	0.0076694967104321	42677	14729	1920465	0
HEL	chr1	850001	900000	0.0064833494316676	27263	7954	1226835	0
HEL	chr1	900001	950000	0.0102683808566161	37128	17156	1670760	0
HEL	chr1	950001	1000000	0.0104963615728686	39944	18867	1797480	0
HEL	chr1	1000001	1050000	0.0098003766478342	14750	6505	663750	0
HEL	chr1	1050001	1100000	0.0071890309302258	15332	4960	689940	0
HEL	chr1	1100001	1150000	0.0102743369556957	13159	6084	592155	0
HEL	chr1	1150001	1200000	0.0099682539682539	6650	2983	299250	0
HEL	chr1	1200001	1250000	0.0088407031435827	14481	5761	651645	0
HEL	chr1	1250001	1300000	0.010393403768798	13314	6227	599130	0
HEL	chr1	1300001	1350000	0.0121638075861962	21627	11838	973215	0
HEL	chr1	1350001	1400000	0.0109600982197667	18100	8927	814500	0
HEL	chr1	1400001	1450000	0.0038534011682683	21228	3681	955260	0
HEL	chr1	1450001	1500000	0.0079720107754043	29821	10698	1341945	0
HEL	chr1	1500001	1550000	0.0086938127974616	18910	7398	850950	0
HEL	chr1	1550001	1600000	0.0069086500012898	8614	2678	387630	0
HEL	chr1	1600001	1650000	0.0082014450002137	12995	4796	584775	0
HEL	chr1	1650001	1700000	0.0067062789838913	23169	6992	1042605	0
HEL	chr1	1700001	1750000	0.0108890692710413	25871	12677	1164195	0
HEL	chr1	1750001	1800000	0.0082585968416753	32373	12031	1456785	0
HEL	chr1	1800001	1850000	0.0066336375488917	19175	5724	862875	0
HEL	chr1	1850001	1900000	0.0081931277934352	7806	2878	351270	0
HEL	chr1	1900001	1950000	0.008523671246334	15382	5900	692190	0
HEL	chr1	1950001	2000000	0.0025422471235038	30699	3512	1381455	0
HEL	chr1	2000001	2050000	0.0042434502564544	30913	5903	1391085	0
HEL	chr1	2050001	2100000	0.0021551004629995	25294	2453	1138230	0
HEL	chr1	2100001	2150000	0.0040647838082601	31654	5790	1424430	0
HEL	chr1	2150001	2200000	0.003382755883332	26034	3963	1171530	0
HEL	chr1	2200001	2250000	0.0064080770617627	25884	7464	1164780	0
HEL	chr1	2250001	2300000	0.00371973403588	31884	5337	1434780	0
HEL	chr1	2300001	2350000	0.0037992138668728	25865	4422	1163925	0
HEL	chr1	2350001	2400000	0.0037530660903274	19433	3282	874485	0
HEL	chr1	2400001	2450000	0.0038684653142484	25896	4508	1165320	0
HEL	chr1	2450001	2500000	0.0046443459352963	27747	5799	1248615	0
HEL	chr1	2500001	2550000	0.0048023226532758	22503	4863	1012635	0
HEL	chr1	2550001	2600000	0.0046854082998661	30212	6370	1359540	0
HEL	chr1	2600001	2650000	0.0038338818934887	22078	3809	993510	0
HEL	chr1	2650001	2700000	0.0031627035258287	25611	3645	1152495	0
HEL	chr1	2700001	2750000	0.0038855174727991	35099	6137	1579455	0
HEL	chr1	2750001	2800000	0.0051139113600221	25712	5917	1157040	0
HEL	chr1	2800001	2850000	0.0051338233156414	31339	7240	1410255	0
HEL	chr1	2850001	2900000	0.0046657092707834	31335	6579	1410075	0
HEL	chr1	2900001	2950000	0.0055254038972143	24690	6139	1111050	0
HEL	chr1	2950001	3000000	0.0045946346524381	31486	6510	1416870	0
HEL	chr1	3000001	3050000	0.0052760894866158	23199	5508	1043955	0
HEL	chr1	3050001	3100000	0.0054438760397402	27758	6800	1249110	0
HEL	chr1	3100001	3150000	0.0045090356438935	23395	4747	1052775	0
HEL	chr1	3150001	3200000	0.0023851386150922	37538	4029	1689210	0
HEL	chr1	3200001	3250000	0.009578476965086	17131	7384	770895	0
HEL	chr1	3250001	3300000	0.0091593083149374	12080	4979	543600	0
HEL	chr1	3300001	3350000	0.0080798627359226	6411	2331	288495	0
HEL	chr1	3350001	3400000	NA	0	NA	NA	NA
HEL	chr1	3400001	3450000	0.0080548365449141	11590	4201	521550	0
HEL	chr1	3450001	3500000	0.0082992299229922	10100	3772	454500	0
HEL	chr1	3500001	3550000	0.0042677900332559	35449	6808	1595205	0
HEL	chr1	3550001	3600000	0.0046753730064293	22691	4774	1021095	0
HEL	chr1	3600001	3650000	0.0020716340778973	34487	3215	1551915	0
HEL	chr1	3650001	3700000	0.0033768287860814	5620	854	252900	0
HEL	chr1	3700001	3750000	0.0044987922705314	1472	298	66240	0
HEL	chr1	3750001	3800000	0.0048309178743961	4324	940	194580	0
HEL	chr1	3800001	3850000	0.0043831417624521	2175	429	97875	0
HEL	chr1	3850001	3900000	0.0023611111111111	320	34	14400	0
HEL	chr1	3900001	3950000	0.0057387676870173	5913	1527	266085	0
HEL	chr1	3950001	4000000	0.0031746031746031	357	51	16065	0
HEL	chr1	4000001	4050000	0.0050653933983807	4817	1098	216765	0
HEL	chr1	4050001	4100000	0.0027363074529146	7569	932	340605	0
HEL	chr1	4100001	4150000	0.0014581032264179	30481	2000	1371645	0
HEL	chr1	4150001	4200000	0.0049820894541391	6762	1516	304290	0
HEL	chr1	4200001	4250000	0.0012837671374256	33374	1928	1501830	0
HEL	chr1	4250001	4300000	0.0019639371269309	39388	3481	1772460	0
HEL	chr1	4300001	4350000	0.0035273799465939	32747	5198	1473615	0
HEL	chr1	4350001	4400000	0.0080237455495599	30022	10840	1350990	0
HEL	chr1	4400001	4450000	0.0060126570407133	29619	8014	1332855	0
HEL	chr1	4450001	4500000	0.0070458933251024	18359	5821	826155	0
HEL	chr1	4500001	4550000	0.0064871097932624	20235	5907	910575	0
HEL	chr1	4550001	4600000	0.0106169276986666	31882	15232	1434690	0
