pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
HCU	HMA	chr1	1	50000	0.0025534290271132	10450	3202	1254000	0
HCU	HMA	chr1	50001	100000	0.0025380037150763	8793	2678	1055160	0
HCU	HMA	chr1	100001	150000	0.0044831836590949	9465	5092	1135800	0
HCU	HMA	chr1	150001	200000	0.0032435859916105	3417	1330	410040	0
HCU	HMA	chr1	200001	250000	0.0046872010713602	10454	5880	1254480	0
HCU	HMA	chr1	250001	300000	0.005187201055583	4042	2516	485040	0
HCU	HMA	chr1	300001	350000	0.0051506471461913	3142	1942	377040	0
HCU	HMA	chr1	350001	400000	0.006366047745358	12064	9216	1447680	0
HCU	HMA	chr1	400001	450000	0.007279738256602	4279	3738	513480	0
HCU	HMA	chr1	450001	500000	0.0064536947402387	4132	3200	495840	0
HCU	HMA	chr1	500001	550000	0.0061453941484604	2609	1924	313080	0
HCU	HMA	chr1	550001	600000	0.0059760818470897	4822	3458	578640	0
HCU	HMA	chr1	600001	650000	0.0	8	0	960	0
HCU	HMA	chr1	650001	700000	0.0055178791615289	3244	2148	389280	0
HCU	HMA	chr1	700001	750000	0.0054121905651564	8564	5562	1027680	0
HCU	HMA	chr1	750001	800000	0.006229955646537	9770	7304	1172400	0
HCU	HMA	chr1	800001	850000	0.0087504850601474	5154	5412	618480	0
HCU	HMA	chr1	850001	900000	0.006912712360867	569	472	68280	0
HCU	HMA	chr1	900001	950000	0.0121807367421402	26676	38992	3201120	0
HCU	HMA	chr1	950001	1000000	0.010634119758341	35477	45272	4257240	0
HCU	HMA	chr1	1000001	1050000	0.0110395161462674	15597	20662	1871640	0
HCU	HMA	chr1	1050001	1100000	0.0106655936375686	10562	13518	1267440	0
HCU	HMA	chr1	1100001	1150000	0.0069170771756978	12180	10110	1461600	0
HCU	HMA	chr1	1150001	1200000	0.008530319488267	19333	19790	2319960	0
HCU	HMA	chr1	1200001	1250000	0.0128150226422524	6772	10414	812640	0
HCU	HMA	chr1	1250001	1300000	0.0104344834365477	3391	4246	406920	0
HCU	HMA	chr1	1300001	1350000	0.0086085813964025	7357	7600	882840	0
HCU	HMA	chr1	1350001	1400000	0.0094368131868131	7280	8244	873600	0
HCU	HMA	chr1	1400001	1450000	0.0107860082304526	8100	10484	972000	0
HCU	HMA	chr1	1450001	1500000	0.0122403834336979	16274	23904	1952880	0
HCU	HMA	chr1	1500001	1550000	0.0115811153358681	1052	1462	126240	0
HCU	HMA	chr1	1550001	1600000	0.0079461911465665	4262	4064	511440	0
HCU	HMA	chr1	1600001	1650000	0.0122738746318889	4754	7002	570480	0
HCU	HMA	chr1	1650001	1700000	0.0080166147455867	1605	1544	192600	0
HCU	HMA	chr1	1700001	1750000	0.011158363710004	823	1102	98760	0
HCU	HMA	chr1	1750001	1800000	0.0103812759531898	883	1100	105960	0
HCU	HMA	chr1	1800001	1850000	0.0127960831017599	2519	3868	302280	0
HCU	HMA	chr1	1850001	1900000	0.0116828595418016	5558	7792	666960	0
HCU	HMA	chr1	1900001	1950000	0.0104046121593291	7950	9926	954000	0
HCU	HMA	chr1	1950001	2000000	0.00644437404298	12626	9764	1515120	0
HCU	HMA	chr1	2000001	2050000	0.0091558413992188	15704	17254	1884480	0
HCU	HMA	chr1	2050001	2100000	0.0063719263963523	10235	7826	1228200	0
HCU	HMA	chr1	2100001	2150000	0.0060288152189117	14298	10344	1715760	0
HCU	HMA	chr1	2150001	2200000	0.0078600264495023	9578	9034	1149360	0
HCU	HMA	chr1	2200001	2250000	0.0105581668625146	8510	10782	1021200	0
HCU	HMA	chr1	2250001	2300000	0.006660209221232	12905	10314	1548600	0
HCU	HMA	chr1	2300001	2350000	0.006809051955008	7468	6102	896160	0
HCU	HMA	chr1	2350001	2400000	0.0067157313707451	5435	4380	652200	0
HCU	HMA	chr1	2400001	2450000	0.0051100929107801	7857	4818	942840	0
HCU	HMA	chr1	2450001	2500000	0.0066250609093294	8893	7070	1067160	0
HCU	HMA	chr1	2500001	2550000	0.0083117834669425	7734	7714	928080	0
HCU	HMA	chr1	2550001	2600000	0.0066984438108814	11224	9022	1346880	0
HCU	HMA	chr1	2600001	2650000	0.0085438335809806	6057	6210	726840	0
HCU	HMA	chr1	2650001	2700000	0.0065361508183136	9654	7572	1158480	0
HCU	HMA	chr1	2700001	2750000	0.0062955570982297	11524	8706	1382880	0
HCU	HMA	chr1	2750001	2800000	0.0071630180366239	4842	4162	581040	0
HCU	HMA	chr1	2800001	2850000	0.0064854445557478	10981	8546	1317720	0
HCU	HMA	chr1	2850001	2900000	0.0072153578887782	17077	14786	2049240	0
HCU	HMA	chr1	2900001	2950000	0.0101624486467839	10629	12962	1275480	0
HCU	HMA	chr1	2950001	3000000	0.0077575941830711	13157	12248	1578840	0
HCU	HMA	chr1	3000001	3050000	0.0079337617399901	8092	7704	971040	0
