chrom	length	bases	mean	min	max
chr1	434526931	6994307242	16.10	0	1127
chr2	381225800	5647497537	14.81	0	4172
chr3	268276564	4140655713	15.43	0	1291
chr4	218045602	3439683686	15.78	0	3581
chr5	142905876	2208565304	15.45	0	1742
chr6	106938139	1570149246	14.68	0	2065
chr7	42362139	501532025	11.84	0	1521
chr8	34083018	443237547	13.00	0	1271
chr9	30848814	477365055	15.47	0	1037
chr10	28798323	372848699	12.95	0	1147
chr11	28504944	410317183	14.39	0	3540
chr12	23795472	272236838	11.44	0	2499
chr13	19560250	310839171	15.89	0	316
chr14	16934482	170174524	10.05	0	888
chr15	16659334	166122897	9.97	0	1464
chrZ	171188827	2707852349	15.82	0	4809
total	1964654515	29833385016	15.19	0	4809
