chrom	length	bases	mean	min	max
chr1	438509360	9881726810	22.53	0	5266
chr2	364343143	8294509084	22.77	0	8743
chr3	266229956	5866861898	22.04	0	3598
chr4	220577908	4896611113	22.20	0	4789
chr5	145831796	3113819771	21.35	0	2073
chr6	103347851	2271790222	21.98	0	1434
chr7	30195766	711774915	23.57	0	4085
chr8	25616936	654996900	25.57	0	11289
chr9	25286039	590533169	23.35	0	5074
chr10	24430297	723967178	29.63	0	12301
chr11	22723820	557383872	24.53	0	3886
chr12	22329172	529272262	23.70	0	13681
chr13	19757143	488559050	24.73	0	617
chr14	11916412	275197807	23.09	0	1705
chr15	7845892	186666387	23.79	0	229
chr16	4331440	69606239	16.07	0	5770
chrZ	173016623	2678144324	15.48	0	8829
total	1906289554	41791421001	21.92	0	13681
