chrom	length	bases	mean	min	max
chr1	434526931	8640512807	19.88	0	1275
chr2	381225800	7259378628	19.04	0	4660
chr3	268276564	5135366770	19.14	0	2442
chr4	218045602	4284475541	19.65	0	3755
chr5	142905876	2751870562	19.26	0	1808
chr6	106938139	1985606224	18.57	0	5584
chr7	42362139	609992314	14.40	0	1169
chr8	34083018	568752135	16.69	0	2174
chr9	30848814	601188523	19.49	0	1757
chr10	28798323	466734933	16.21	0	4724
chr11	28504944	514550575	18.05	0	993
chr12	23795472	385851955	16.22	0	3497
chr13	19560250	392808345	20.08	0	362
chr14	16934482	215830563	12.75	0	890
chr15	16659334	264361654	15.87	0	1784
chrZ	171188827	3314669143	19.36	0	1664
total	1964654515	37391950672	19.03	0	5584
