chrom	length	bases	mean	min	max
chr1	434526931	7671100900	17.65	0	443
chr2	381225800	6297225524	16.52	0	733
chr3	268276564	4578366403	17.07	0	571
chr4	218045602	3763032701	17.26	0	271
chr5	142905876	2424667664	16.97	0	268
chr6	106938139	1724916403	16.13	0	383
chr7	42362139	521364188	12.31	0	359
chr8	34083018	417161934	12.24	0	218
chr9	30848814	503105944	16.31	0	212
chr10	28798323	386532517	13.42	0	217
chr11	28504944	428633223	15.04	0	182
chr12	23795472	259092048	10.89	0	453
chr13	19560250	325337858	16.63	0	112
chr14	16934482	174369241	10.30	0	134
chr15	16659334	169588283	10.18	0	395
chrZ	171188827	2895684915	16.92	0	1845
scaffold_17	8602431	1114662	0.13	0	38
scaffold_18	5896640	2994939	0.51	0	64
scaffold_19	3578573	7461830	2.09	0	96
scaffold_20	3463715	2555031	0.74	0	51
scaffold_21	2653684	475396	0.18	0	33
scaffold_22	2594236	230796	0.09	0	21
scaffold_23	2401630	75662	0.03	0	66
scaffold_24	2227603	252203	0.11	0	20
scaffold_25	2202738	1186751	0.54	0	55
scaffold_26	2177833	750948	0.34	0	83
scaffold_27	2141302	239244	0.11	0	48
scaffold_28	2117275	187729	0.09	0	25
scaffold_29	1993315	3467633	1.74	0	176
scaffold_30	1963441	1477680	0.75	0	41
scaffold_31	1903766	4203471	2.21	0	105
scaffold_32	1891392	2012187	1.06	0	94
scaffold_33	1859776	352415	0.19	0	31
scaffold_34	1787999	34	0.00	0	1
scaffold_35	1751308	18445304	10.53	0	89
scaffold_36	1660000	3085069	1.86	0	84
scaffold_37	1534483	167370	0.11	0	21
scaffold_38	1527826	171071	0.11	0	33
scaffold_39	1505925	556965	0.37	0	43
scaffold_40	1478730	1466597	0.99	0	90
scaffold_41	1436034	189508	0.13	0	21
scaffold_42	1377455	19391621	14.08	0	86
scaffold_43	1343551	132977	0.10	0	17
scaffold_44	1304300	4844460	3.71	0	61
scaffold_45	1257125	155537	0.12	0	26
scaffold_46	1222163	94079	0.08	0	32
scaffold_47	1141902	1295232	1.13	0	48
scaffold_48	1095069	212874	0.19	0	32
scaffold_49	1086189	107572	0.10	0	20
scaffold_50	1081135	102342	0.09	0	18
scaffold_51	998428	50516	0.05	0	12
scaffold_52	990424	7911366	7.99	0	45
scaffold_53	984522	87834	0.09	0	34
scaffold_54	970918	199950	0.21	0	29
scaffold_55	940026	137274	0.15	0	32
scaffold_56	934443	7830	0.01	0	4
scaffold_57	930907	106787	0.11	0	22
scaffold_58	922701	8046965	8.72	0	145
scaffold_59	917863	34622	0.04	0	14
scaffold_60	912060	635781	0.70	0	49
scaffold_61	904647	2840845	3.14	0	138
scaffold_62	884248	127447	0.14	0	30
scaffold_63	867928	263412	0.30	0	47
scaffold_64	841645	623295	0.74	0	258
scaffold_65	832083	214930	0.26	0	24
scaffold_66	826999	383493	0.46	0	35
scaffold_67	823448	13568326	16.48	0	47
scaffold_68	810612	779482	0.96	0	44
scaffold_69	793079	61138	0.08	0	26
scaffold_70	782272	10507648	13.43	0	44
scaffold_71	766061	850901	1.11	0	33
scaffold_72	730958	740125	1.01	0	47
scaffold_73	720968	50538	0.07	0	36
scaffold_74	694750	434686	0.63	0	29
scaffold_75	682876	643296	0.94	0	36
scaffold_76	675224	299	0.00	0	2
scaffold_77	648781	29620	0.05	0	12
scaffold_78	647957	88104	0.14	0	16
scaffold_79	644743	139676	0.22	0	23
scaffold_80	643888	96428	0.15	0	43
scaffold_81	641836	686716	1.07	0	36
scaffold_82	641623	108920	0.17	0	33
scaffold_83	632156	99061	0.16	0	28
scaffold_84	618935	730427	1.18	0	43
scaffold_85	608512	31977	0.05	0	14
scaffold_86	599561	410774	0.69	0	40
scaffold_87	597950	195297	0.33	0	18
scaffold_88	593645	7450571	12.55	0	61
