pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
HCU	chr1	1	50000	0.0010262386140729	28605	1321	1287225	0
HCU	chr1	50001	100000	0.0012305099030762	23730	1314	1067850	0
HCU	chr1	100001	150000	0.0015561804922917	25247	1768	1136115	0
HCU	chr1	150001	200000	0.0015181014386658	21401	1462	963045	0
HCU	chr1	200001	250000	0.0016172506738544	27454	1998	1235430	0
HCU	chr1	250001	300000	0.0015850356879153	20315	1449	914175	0
HCU	chr1	300001	350000	0.0015403264152586	16591	1150	746595	0
HCU	chr1	350001	400000	0.0022239385029515	24601	2462	1107045	0
HCU	chr1	400001	450000	0.0018517510598281	18373	1531	826785	0
HCU	chr1	450001	500000	0.0026566407355429	19239	2300	865755	0
HCU	chr1	500001	550000	0.00241020614405	14623	1586	658035	0
HCU	chr1	550001	600000	0.0044633987599767	19462	3909	875790	0
HCU	chr1	600001	650000	0.0044506474373885	1433	287	64485	0
HCU	chr1	650001	700000	0.0039565172993195	11969	2131	538605	0
HCU	chr1	700001	750000	0.0028382312499407	23434	2993	1054530	0
HCU	chr1	750001	800000	0.0047314088643604	24099	5131	1084455	0
HCU	chr1	800001	850000	0.0066530024055989	38706	11588	1741770	0
HCU	chr1	850001	900000	0.0076917562724014	3100	1073	139500	0
HCU	chr1	900001	950000	0.0107755326263494	37216	18046	1674720	0
HCU	chr1	950001	1000000	0.0091244660113641	40185	16500	1808325	0
HCU	chr1	1000001	1050000	0.0102025462962962	23040	10578	1036800	0
HCU	chr1	1050001	1100000	0.009479844367904	13936	5945	627120	0
HCU	chr1	1100001	1150000	0.0070343725019984	18209	5764	819405	0
HCU	chr1	1150001	1200000	0.0065250490708638	24228	7114	1090260	0
HCU	chr1	1200001	1250000	0.0099112754906121	16493	7356	742185	0
HCU	chr1	1250001	1300000	0.0087960976849865	6993	2768	314685	0
HCU	chr1	1300001	1350000	0.0100792511036647	12534	5685	564030	0
HCU	chr1	1350001	1400000	0.0089555063494767	11742	4732	528390	0
HCU	chr1	1400001	1450000	0.007851692467077	11154	3941	501930	0
HCU	chr1	1450001	1500000	0.0102338655901742	27827	12815	1252215	0
HCU	chr1	1500001	1550000	0.0107104109707937	7681	3702	345645	0
HCU	chr1	1550001	1600000	0.0074753867791842	9480	3189	426600	0
HCU	chr1	1600001	1650000	0.0088588485029618	14499	5780	652455	0
HCU	chr1	1650001	1700000	0.0067598337197885	5319	1618	239355	0
