pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
HEL	HMA	chr1	1	50000	0.003810419851817	17006	6480	1700600	0
HEL	HMA	chr1	50001	100000	0.0035861368909512	13792	4946	1379200	0
HEL	HMA	chr1	100001	150000	0.0055536296193579	14423	8010	1442300	0
HEL	HMA	chr1	150001	200000	0.0051023910307745	8741	4460	874100	0
HEL	HMA	chr1	200001	250000	0.0055474274567178	16404	9100	1640400	0
HEL	HMA	chr1	250001	300000	0.0060094896872276	10327	6206	1032700	0
HEL	HMA	chr1	300001	350000	0.0053952158086323	7692	4150	769200	0
HEL	HMA	chr1	350001	400000	0.0081315860578222	14804	12038	1480400	0
HEL	HMA	chr1	400001	450000	0.0060639328382305	9291	5634	929100	0
HEL	HMA	chr1	450001	500000	0.0046395806028833	10682	4956	1068200	0
HEL	HMA	chr1	500001	550000	0.0058103119032463	7855	4564	785500	0
HEL	HMA	chr1	550001	600000	0.0084684684684684	9879	8366	987900	0
HEL	HMA	chr1	600001	650000	0.01	140	140	14000	0
HEL	HMA	chr1	650001	700000	0.0077828668363019	5895	4588	589500	0
HEL	HMA	chr1	700001	750000	0.0055115068032924	11906	6562	1190600	0
HEL	HMA	chr1	750001	800000	0.0072411953041622	14992	10856	1499200	0
HEL	HMA	chr1	800001	850000	0.0092903892524974	5806	5394	580600	0
HEL	HMA	chr1	850001	900000	0.0085153308230231	3718	3166	371800	0
HEL	HMA	chr1	900001	950000	0.0124642807601609	28836	35942	2883600	0
HEL	HMA	chr1	950001	1000000	0.0112072534786824	38161	42768	3816100	0
HEL	HMA	chr1	1000001	1050000	0.0100226047643888	11502	11528	1150200	0
HEL	HMA	chr1	1050001	1100000	0.0084177215189873	13588	11438	1358800	0
HEL	HMA	chr1	1100001	1150000	0.0101652613827993	8895	9042	889500	0
HEL	HMA	chr1	1150001	1200000	0.0100355390082924	5909	5930	590900	0
HEL	HMA	chr1	1200001	1250000	0.0109751434034416	8891	9758	889100	0
HEL	HMA	chr1	1250001	1300000	0.0119109984509224	7101	8458	710100	0
HEL	HMA	chr1	1300001	1350000	0.0115720195562241	10636	12308	1063600	0
HEL	HMA	chr1	1350001	1400000	0.0124019970414201	10816	13414	1081600	0
HEL	HMA	chr1	1400001	1450000	0.0086176704696205	15076	12992	1507600	0
HEL	HMA	chr1	1450001	1500000	0.0105643290999447	18110	19132	1811000	0
HEL	HMA	chr1	1500001	1550000	0.011671469740634	2776	3240	277600	0
HEL	HMA	chr1	1550001	1600000	0.0075741504615989	5091	3856	509100	0
HEL	HMA	chr1	1600001	1650000	0.011043659043659	4810	5312	481000	0
HEL	HMA	chr1	1650001	1700000	0.0063033953997809	3652	2302	365200	0
HEL	HMA	chr1	1700001	1750000	0.0101236917221693	1051	1064	105100	0
HEL	HMA	chr1	1750001	1800000	0.0075829383886255	1055	800	105500	0
HEL	HMA	chr1	1800001	1850000	0.0118674463937621	2565	3044	256500	0
HEL	HMA	chr1	1850001	1900000	0.010566762728146	5205	5500	520500	0
HEL	HMA	chr1	1900001	1950000	0.0098021143941447	7378	7232	737800	0
HEL	HMA	chr1	1950001	2000000	0.0080979378231885	16051	12998	1605100	0
HEL	HMA	chr1	2000001	2050000	0.0109870282389366	18733	20582	1873300	0
HEL	HMA	chr1	2050001	2100000	0.0073394495412844	13625	10000	1362500	0
HEL	HMA	chr1	2100001	2150000	0.0078534157020332	16673	13094	1667300	0
HEL	HMA	chr1	2150001	2200000	0.0082343057889109	13094	10782	1309400	0
HEL	HMA	chr1	2200001	2250000	0.0104212938480521	11346	11824	1134600	0
HEL	HMA	chr1	2250001	2300000	0.0076194752710244	15589	11878	1558900	0
HEL	HMA	chr1	2300001	2350000	0.0083586126944256	10351	8652	1035100	0
HEL	HMA	chr1	2350001	2400000	0.0069141531322505	10344	7152	1034400	0
HEL	HMA	chr1	2400001	2450000	0.0073086174006801	12057	8812	1205700	0
HEL	HMA	chr1	2450001	2500000	0.0078538955949208	12758	10020	1275800	0
HEL	HMA	chr1	2500001	2550000	0.00997476022211	9905	9880	990500	0
HEL	HMA	chr1	2550001	2600000	0.0081527231892195	14248	11616	1424800	0
HEL	HMA	chr1	2600001	2650000	0.0088409466152999	9085	8032	908500	0
HEL	HMA	chr1	2650001	2700000	0.0073345995568217	12636	9268	1263600	0
HEL	HMA	chr1	2700001	2750000	0.0075692307692307	15275	11562	1527500	0
HEL	HMA	chr1	2750001	2800000	0.0083612351190476	10752	8990	1075200	0
HEL	HMA	chr1	2800001	2850000	0.0072774939499865	14876	10826	1487600	0
HEL	HMA	chr1	2850001	2900000	0.0070936757494565	19781	14032	1978100	0
HEL	HMA	chr1	2900001	2950000	0.0085634271874053	13212	11314	1321200	0
HEL	HMA	chr1	2950001	3000000	0.0070368045649072	17525	12332	1752500	0
HEL	HMA	chr1	3000001	3050000	0.0104631545440076	12566	13148	1256600	0
HEL	HMA	chr1	3050001	3100000	0.0075964514132453	14541	11046	1454100	0
HEL	HMA	chr1	3100001	3150000	0.0070113713674798	10289	7214	1028900	0
HEL	HMA	chr1	3150001	3200000	0.0063566381946641	18966	12056	1896600	0
HEL	HMA	chr1	3200001	3250000	0.0120459139474444	13852	16686	1385200	0
HEL	HMA	chr1	3250001	3300000	0.0107736138505369	4563	4916	456300	0
HEL	HMA	chr1	3300001	3350000	0.0080152348709267	2363	1894	236300	0
HEL	HMA	chr1	3350001	3400000	NA	0	NA	NA	NA
HEL	HMA	chr1	3400001	3450000	0.0101272889682894	8956	9070	895600	0
HEL	HMA	chr1	3450001	3500000	0.0089481268011527	4164	3726	416400	0
HEL	HMA	chr1	3500001	3550000	0.0060564641561012	21217	12850	2121700	0
HEL	HMA	chr1	3550001	3600000	0.004565812792009	12414	5668	1241400	0
HEL	HMA	chr1	3600001	3650000	0.0080988372093023	17200	13930	1720000	0
HEL	HMA	chr1	3650001	3700000	0.0053191489361702	282	150	28200	0
HEL	HMA	chr1	3700001	3750000	NA	0	NA	NA	NA
HEL	HMA	chr1	3750001	3800000	0.006657633242999	2214	1474	221400	0
HEL	HMA	chr1	3800001	3850000	0.0095041322314049	242	230	24200	0
HEL	HMA	chr1	3850001	3900000	NA	0	NA	NA	NA
HEL	HMA	chr1	3900001	3950000	0.0063701263042284	1821	1160	182100	0
HEL	HMA	chr1	3950001	4000000	NA	0	NA	NA	NA
HEL	HMA	chr1	4000001	4050000	0.00638511095204	2794	1784	279400	0
HEL	HMA	chr1	4050001	4100000	0.0054550155118924	3868	2110	386800	0
HEL	HMA	chr1	4100001	4150000	0.0038651286601597	16905	6534	1690500	0
HEL	HMA	chr1	4150001	4200000	0.0051992753623188	3312	1722	331200	0
HEL	HMA	chr1	4200001	4250000	0.0036026276362798	17354	6252	1735400	0
HEL	HMA	chr1	4250001	4300000	0.004879491017964	26720	13038	2672000	0
HEL	HMA	chr1	4300001	4350000	0.0051486225827192	20219	10410	2021900	0
HEL	HMA	chr1	4350001	4400000	0.0144253605830487	19621	28304	1962100	0
HEL	HMA	chr1	4400001	4450000	0.0079801949874942	19591	15634	1959100	0
HEL	HMA	chr1	4450001	4500000	0.0093506493506493	10395	9720	1039500	0
HEL	HMA	chr1	4500001	4550000	0.0083002811336524	13161	10924	1316100	0
HEL	HMA	chr1	4550001	4600000	0.0108609846020386	18444	20032	1844400	0
HEL	HMA	chr1	4600001	4650000	0.0149682260163846	13061	19550	1306100	0
HEL	HMA	chr1	4650001	4700000	0.005620753551575	6476	3640	647600	0
HEL	HMA	chr1	4700001	4750000	0.0066461395456922	17213	11440	1721300	0
HEL	HMA	chr1	4750001	4800000	0.0094342250333662	17233	16258	1723300	0
HEL	HMA	chr1	4800001	4850000	0.0079397054737427	14396	11430	1439600	0
HEL	HMA	chr1	4850001	4900000	0.0083587099868121	16682	13944	1668200	0
HEL	HMA	chr1	4900001	4950000	0.0083241386489018	19214	15994	1921400	0
HEL	HMA	chr1	4950001	5000000	0.0084698291663611	13639	11552	1363900	0
HEL	HMA	chr1	5000001	5050000	0.0057749086248635	21067	12166	2106700	0
HEL	HMA	chr1	5050001	5100000	0.0072826086956521	18768	13668	1876800	0
HEL	HMA	chr1	5100001	5150000	0.008593737920371	12935	11116	1293500	0
HEL	HMA	chr1	5150001	5200000	0.0092749472414832	13268	12306	1326800	0
HEL	HMA	chr1	5200001	5250000	0.0096266845665306	19367	18644	1936700	0
HEL	HMA	chr1	5250001	5300000	0.0075272814486149	16678	12554	1667800	0
HEL	HMA	chr1	5300001	5350000	0.0094580570769674	20814	19686	2081400	0
HEL	HMA	chr1	5350001	5400000	0.0080513141426783	15980	12866	1598000	0
HEL	HMA	chr1	5400001	5450000	0.0110156059497683	16404	18070	1640400	0
HEL	HMA	chr1	5450001	5500000	0.0091019184652278	16680	15182	1668000	0
HEL	HMA	chr1	5500001	5550000	0.0095561610656978	16515	15782	1651500	0
HEL	HMA	chr1	5550001	5600000	0.0112068164213787	6455	7234	645500	0
HEL	HMA	chr1	5600001	5650000	0.0067673391428912	16754	11338	1675400	0
HEL	HMA	chr1	5650001	5700000	0.0076071077034657	19303	14684	1930300	0
HEL	HMA	chr1	5700001	5750000	0.0072041884816753	20055	14448	2005500	0
HEL	HMA	chr1	5750001	5800000	0.0086518097044412	12654	10948	1265400	0
HEL	HMA	chr1	5800001	5850000	0.0078700854700854	17550	13812	1755000	0
HEL	HMA	chr1	5850001	5900000	0.0078631935620499	18888	14852	1888800	0
HEL	HMA	chr1	5900001	5950000	0.0084212988227956	12827	10802	1282700	0
HEL	HMA	chr1	5950001	6000000	0.0096646464646464	14850	14352	1485000	0
HEL	HMA	chr1	6000001	6050000	0.0090768700448121	14505	13166	1450500	0
HEL	HMA	chr1	6050001	6100000	0.0100538599640933	10026	10080	1002600	0
HEL	HMA	chr1	6100001	6150000	0.0084883933467373	16413	13932	1641300	0
HEL	HMA	chr1	6150001	6200000	0.0096821432625723	17618	17058	1761800	0
HEL	HMA	chr1	6200001	6250000	0.0087425382818582	15412	13474	1541200	0
HEL	HMA	chr1	6250001	6300000	0.0075788564021316	13886	10524	1388600	0
HEL	HMA	chr1	6300001	6350000	0.0095271666464081	16454	15676	1645400	0
HEL	HMA	chr1	6350001	6400000	0.0075730284282246	12769	9670	1276900	0
HEL	HMA	chr1	6400001	6450000	0.0082362365278182	13732	11310	1373200	0
HEL	HMA	chr1	6450001	6500000	0.006196460630931	11697	7248	1169700	0
HEL	HMA	chr1	6500001	6550000	0.0089811370015012	15321	13760	1532100	0
HEL	HMA	chr1	6550001	6600000	0.0088935793558929	14687	13062	1468700	0
HEL	HMA	chr1	6600001	6650000	0.0070210399893243	22481	15784	2248100	0
HEL	HMA	chr1	6650001	6700000	0.0065974186249807	19447	12830	1944700	0
HEL	HMA	chr1	6700001	6750000	0.0058225735185821	20369	11860	2036900	0
HEL	HMA	chr1	6750001	6800000	0.0069507549033441	21261	14778	2126100	0
HEL	HMA	chr1	6800001	6850000	0.0065282209551707	19117	12480	1911700	0
HEL	HMA	chr1	6850001	6900000	0.0078154185770079	23556	18410	2355600	0
HEL	HMA	chr1	6900001	6950000	0.0082781104457751	15030	12442	1503000	0
HEL	HMA	chr1	6950001	7000000	0.0067894760840818	21931	14890	2193100	0
HEL	HMA	chr1	7000001	7050000	0.0071221551765097	21047	14990	2104700	0
HEL	HMA	chr1	7050001	7100000	0.0056677814938684	17940	10168	1794000	0
HEL	HMA	chr1	7100001	7150000	0.006629315960912	15350	10176	1535000	0
HEL	HMA	chr1	7150001	7200000	0.0068662441627751	11992	8234	1199200	0
HEL	HMA	chr1	7200001	7250000	0.0079277364505844	13174	10444	1317400	0
HEL	HMA	chr1	7250001	7300000	0.009060576611597	12348	11188	1234800	0
HEL	HMA	chr1	7300001	7350000	0.0084615384615384	4264	3608	426400	0
HEL	HMA	chr1	7350001	7400000	0.0099648054789308	21026	20952	2102600	0
HEL	HMA	chr1	7400001	7450000	0.0116744529136955	16268	18992	1626800	0
