chrom	length	bases	mean	min	max
chr1	439018779	12033183609	27.41	0	3692
chr2	375143852	10182573685	27.14	0	11497
chr3	267871518	7283248819	27.19	0	6771
chr4	220543031	5969358614	27.07	0	13861
chr5	146002398	3911719749	26.79	0	1995
chr6	106234579	2785368928	26.22	0	5663
chr7	30861697	824726097	26.72	0	979
chr8	25217042	679221228	26.94	0	1900
chr9	30079015	813906885	27.06	0	4340
chr10	23601959	766767610	32.49	0	2320
chr11	26597827	689649516	25.93	0	529
chr12	16702216	440647012	26.38	0	7365
chr13	19555937	517621839	26.47	0	938
chr14	11861178	284568660	23.99	0	1418
chr15	11548905	743102908	64.34	0	3952
chrZ	168707545	4763133343	28.23	0	2610
total	1919547478	52688798502	27.45	0	13861
