chrom	length	bases	mean	min	max
chr1	434526931	6509073476	14.98	0	7900
chr2	381225800	5357600148	14.05	0	2533
chr3	268276564	3895166670	14.52	0	1206
chr4	218045602	3207526279	14.71	0	5988
chr5	142905876	2057544974	14.40	0	951
chr6	106938139	1480585260	13.85	0	7632
chr7	42362139	453127770	10.70	0	518
chr8	34083018	505978373	14.85	0	2003
chr9	30848814	428891613	13.90	0	330
chr10	28798323	336309289	11.68	0	948
chr11	28504944	364360331	12.78	0	222
chr12	23795472	276954166	11.64	0	4668
chr13	19560250	275263891	14.07	0	622
chr14	16934482	151625201	8.95	0	225
chr15	16659334	158890010	9.54	0	1206
chrZ	171188827	1329098573	7.76	0	1611
total	1964654515	26787996024	13.63	0	7900
