pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
HCU	HEL	chr1	1	50000	0.0034670258405666	16705	6950	2004600	0
HCU	HEL	chr1	50001	100000	0.0034919755366744	16242	6806	1949040	0
HCU	HEL	chr1	100001	150000	0.0039100953781426	16321	7658	1958520	0
HCU	HEL	chr1	150001	200000	0.0025414364640883	6335	1932	760200	0
HCU	HEL	chr1	200001	250000	0.0040839257988068	16316	7996	1957920	0
HCU	HEL	chr1	250001	300000	0.0048842489757638	6753	3958	810360	0
HCU	HEL	chr1	300001	350000	0.0044220519653564	6004	3186	720480	0
HCU	HEL	chr1	350001	400000	0.0062708063820612	19325	14542	2319000	0
HCU	HEL	chr1	400001	450000	0.0046511627906976	6450	3600	774000	0
HCU	HEL	chr1	450001	500000	0.0054137613471911	7601	4938	912120	0
HCU	HEL	chr1	500001	550000	0.0041804501524291	5139	2578	616680	0
HCU	HEL	chr1	550001	600000	0.0046702495521393	8001	4484	960120	0
HCU	HEL	chr1	600001	650000	0.0050837320574162	836	510	100320	0
HCU	HEL	chr1	650001	700000	0.0053860337853913	5604	3622	672480	0
HCU	HEL	chr1	700001	750000	0.0054018155957161	15936	10330	1912320	0
HCU	HEL	chr1	750001	800000	0.0064972975203201	16158	12598	1938960	0
HCU	HEL	chr1	800001	850000	0.0109019193620523	35029	45826	4203480	0
HCU	HEL	chr1	850001	900000	0.0112913050098979	2189	2966	262680	0
HCU	HEL	chr1	900001	950000	0.0136197280384333	32333	52844	3879960	0
HCU	HEL	chr1	950001	1000000	0.0124559985882396	35889	53644	4306680	0
HCU	HEL	chr1	1000001	1050000	0.0127104864268981	12095	18448	1451400	0
HCU	HEL	chr1	1050001	1100000	0.0121437355324074	9216	13430	1105920	0
HCU	HEL	chr1	1100001	1150000	0.0114385427306775	9790	13438	1174800	0
HCU	HEL	chr1	1150001	1200000	0.0119642651959094	5802	8330	696240	0
HCU	HEL	chr1	1200001	1250000	0.0119157570668905	9528	13624	1143360	0
HCU	HEL	chr1	1250001	1300000	0.0122879650393881	5797	8548	695640	0
HCU	HEL	chr1	1300001	1350000	0.0151694840251349	11299	20568	1355880	0
HCU	HEL	chr1	1350001	1400000	0.0133526550046579	9661	15480	1159320	0
HCU	HEL	chr1	1400001	1450000	0.0111765873015873	8400	11266	1008000	0
