pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
HEL	chr1	1	50000	0.0007715771276773	16647	578	749115	0
HEL	chr1	50001	100000	0.0016490769460863	17087	1268	768915	0
HEL	chr1	100001	150000	0.0011702396586698	18021	949	810945	0
HEL	chr1	150001	200000	0.0008634100092968	12071	469	543195	0
HEL	chr1	200001	250000	0.0017185795807196	18439	1426	829755	0
HEL	chr1	250001	300000	0.0011190575667461	13563	683	610335	0
HEL	chr1	300001	350000	0.0012692070986813	11013	629	495585	0
HEL	chr1	350001	400000	0.0020865160961779	16146	1516	726570	0
HEL	chr1	400001	450000	0.0014613497263339	12363	813	556335	0
HEL	chr1	450001	500000	0.0015124977193942	12180	829	548100	0
HEL	chr1	500001	550000	0.0020538621538327	10203	943	459135	0
HEL	chr1	550001	600000	0.0015841104968261	11938	851	537210	0
HEL	chr1	600001	650000	0.0027879677182685	1363	171	61335	0
HEL	chr1	650001	700000	0.0026612048052759	7649	916	344205	0
HEL	chr1	700001	750000	0.001939404449647	15377	1342	691965	0
HEL	chr1	750001	800000	0.0031547227701073	20280	2879	912600	0
HEL	chr1	800001	850000	0.0077504009330806	34295	11961	1543275	0
HEL	chr1	850001	900000	0.0069312640905992	19073	5949	858285	0
HEL	chr1	900001	950000	0.0105173876166242	31702	15004	1426590	0
HEL	chr1	950001	1000000	0.0108814214451223	32943	16131	1482435	0
HEL	chr1	1000001	1050000	0.0092820776109185	10388	4339	467460	0
HEL	chr1	1050001	1100000	0.0074054231032532	11199	3732	503955	0
HEL	chr1	1100001	1150000	0.0108314315120597	9932	4841	446940	0
HEL	chr1	1150001	1200000	0.0105498337965233	4078	1936	183510	0
HEL	chr1	1200001	1250000	0.0090869846751564	9266	3789	416970	0
HEL	chr1	1250001	1300000	0.0118997309686284	9623	5153	433035	0
HEL	chr1	1300001	1350000	0.0127212227585198	18232	10437	820440	0
HEL	chr1	1350001	1400000	0.0109703074471212	14362	7090	646290	0
HEL	chr1	1400001	1450000	0.0036869249494574	13465	2234	605925	0
HEL	chr1	1450001	1500000	0.008091313820214	23460	8542	1055700	0
HEL	chr1	1500001	1550000	0.0080546045123342	15188	5505	683460	0
HEL	chr1	1550001	1600000	0.0069010968318975	7081	2199	318645	0
HEL	chr1	1600001	1650000	0.0076355616396684	8766	3012	394470	0
HEL	chr1	1650001	1700000	0.0073935080340774	15455	5142	695475	0
HEL	chr1	1700001	1750000	0.0113736850129592	19677	10071	885465	0
HEL	chr1	1750001	1800000	0.0087274139947723	26313	10334	1184085	0
HEL	chr1	1800001	1850000	0.0064297656493524	15684	4538	705780	0
HEL	chr1	1850001	1900000	0.008084341446825	4574	1664	205830	0
HEL	chr1	1900001	1950000	0.0097989773761994	9518	4197	428310	0
HEL	chr1	1950001	2000000	0.002269988671703	15399	1573	692955	0
HEL	chr1	2000001	2050000	0.0034773532912028	17459	2732	785655	0
HEL	chr1	2050001	2100000	0.0025367455047377	13403	1530	603135	0
HEL	chr1	2100001	2150000	0.0042168464411631	19098	3624	859410	0
HEL	chr1	2150001	2200000	0.0026132980482963	12092	1422	544140	0
