chrom	length	bases	mean	min	max
chr1	434526931	8857288458	20.38	0	1417
chr2	381225800	7090401290	18.60	0	6484
chr3	268276564	5359898931	19.98	0	1292
chr4	218045602	4451441499	20.42	0	3461
chr5	142905876	2900346776	20.30	0	2340
chr6	106938139	2021254028	18.90	0	2880
chr7	42362139	615449792	14.53	0	4766
chr8	34083018	504152248	14.79	0	1407
chr9	30848814	562709859	18.24	0	870
chr10	28798323	464549917	16.13	0	645
chr11	28504944	527718066	18.51	0	2119
chr12	23795472	288394150	12.12	0	1835
chr13	19560250	376422321	19.24	0	346
chr14	16934482	194629867	11.49	0	906
chr15	16659334	165606707	9.94	0	3534
chrZ	171188827	1863874673	10.89	0	3194
scaffold_17	8602431	63519357	7.38	0	9128
scaffold_18	5896640	813994	0.14	0	502
scaffold_19	3578573	3472795	0.97	0	853
scaffold_20	3463715	2339369	0.68	0	235
scaffold_21	2653684	7347684	2.77	0	578
scaffold_22	2594236	4554506	1.76	0	422
scaffold_23	2401630	849931	0.35	0	398
scaffold_24	2227603	12144995	5.45	0	80
scaffold_25	2202738	1125135	0.51	0	439
scaffold_26	2177833	463719	0.21	0	259
scaffold_27	2141302	1513858	0.71	0	713
scaffold_28	2117275	17601584	8.31	0	603
scaffold_29	1993315	13047798	6.55	0	4440
scaffold_30	1963441	1992846	1.01	0	1620
scaffold_31	1903766	2784663	1.46	0	2412
scaffold_32	1891392	4106770	2.17	0	991
scaffold_33	1859776	1078010	0.58	0	214
scaffold_34	1787999	6733	0.00	0	4
scaffold_35	1751308	9527321	5.44	0	239
scaffold_36	1660000	4582497	2.76	0	1150
scaffold_37	1534483	8258810	5.38	0	780
scaffold_38	1527826	17328773	11.34	0	688
scaffold_39	1505925	11030809	7.32	0	97
scaffold_40	1478730	165809	0.11	0	63
scaffold_41	1436034	11307996	7.87	0	466
scaffold_42	1377455	9505611	6.90	0	69
scaffold_43	1343551	10853512	8.08	0	616
scaffold_44	1304300	9739314	7.47	0	678
scaffold_45	1257125	3120676	2.48	0	1136
scaffold_46	1222163	557374	0.46	0	92
scaffold_47	1141902	1566060	1.37	0	392
scaffold_48	1095069	469130	0.43	0	1107
scaffold_49	1086189	4878966	4.49	0	82
scaffold_50	1081135	10950602	10.13	0	631
scaffold_51	998428	4462009	4.47	0	184
scaffold_52	990424	10941662	11.05	0	294
scaffold_53	984522	838279	0.85	0	1293
scaffold_54	970918	148964	0.15	0	98
scaffold_55	940026	15901447	16.92	0	606
scaffold_56	934443	446556	0.48	0	150
scaffold_57	930907	5979325	6.42	0	477
scaffold_58	922701	3189157	3.46	0	61
scaffold_59	917863	1990073	2.17	0	36
scaffold_60	912060	1421723	1.56	0	304
scaffold_61	904647	992624	1.10	0	71
scaffold_62	884248	6823097	7.72	0	51
scaffold_63	867928	304568	0.35	0	132
scaffold_64	841645	235311	0.28	0	146
scaffold_65	832083	148173	0.18	0	59
scaffold_66	826999	58416	0.07	0	22
scaffold_67	823448	16449023	19.98	0	273
scaffold_68	810612	577378	0.71	0	146
scaffold_69	793079	1949735	2.46	0	452
scaffold_70	782272	12374145	15.82	0	195
scaffold_71	766061	395529	0.52	0	111
scaffold_72	730958	381137	0.52	0	160
scaffold_73	720968	1768591	2.45	0	310
scaffold_74	694750	538910	0.78	0	255
scaffold_75	682876	147120	0.22	0	87
